author	inferreddate	shorttitle	place	genres	first_name	estimated_gender
Soane, George	1817.0	The falls of Clyde	enk		George	m
Ross	1817.0	"The bachelor and the married man, or The equilibrium of the ""Balance of comfort."""	enk		Ross	m
Pococurante de Peudemots, Jean	1817.0	Fragments and fictions	stk		Jean	m
	1817.0	The Absent man	enk			unknown
	1817.0	The revealer of secrets; or The house that Jack built	enk			unknown
	1817.0	The revealer of secrets; or The house that Jack built, a new story upon an old foundation. In three volumes	enk			unknown
	1817.0	Authentic memoirs of the revolution in France, and of the sufferings of the royal family	enk			unknown
Baron, Erskine, Thomas Erskine	1817.0	The second part of Armata	enk	Novel	Thomas	m
Colman, George	1817.0	The history of Elsmere and Rosa; an episode	enk		George	m
Peacock, Thomas Love	1817.0	Melincourt	enk		Thomas	m
Gutch, John Mathew	1817.0	Caraboo : a narrative of a singular imposition practised upon the benevolence of a lady residing in the vicinity of the city of Bristol, by a young woman of the name of Mary Willcocks, alias Baker, alias Bakerstendht, alias Caraboo, princess of Javasu ; illustrated with two portraits engraved from drawings by E. Bird, Esq. R.A. and Mr. Branwhite	enk		John	m
Gueullette, Thomas-Simon	1817.0	Peruvian tales : related in one thousand and one hours, by one of the select virgins of Cusco, to the Ynca of Peru, to dissuade him from a resolution he had taken to destroy himself by poison, interspersed with curious and historical remarks explaining the religious and civil customs and ceremonies of the ancient inhabitants of that great empire	enk		Thomas	m
Cuthbertson, Catherine	1817.0	Rosabella: or, A mother's marriage.  A novel	enk		Catherine	f
Madame d' Aulnoy, (Marie-Catherine)	1817.0	Fairy tales and novels	enk		Marie	f
	1817.0	The actress of the present day	enk			unknown
	1817.0	Alexena;	enk			unknown
	1817.0	Hardenbrass and Haverill;	enk			unknown
St. George, Catherine	1817.0	Maria, a domestic tale	enk		Catherine	f
Mant, Alicia Catherine	1817.0	Montague Newburgh; or, The mother and son	enk		Alicia	f
Barrett, Eaton Stannard	1817.0	Six weeks at Long's	enk		Eaton	unknown
Edgworth, Mrs	1817.0	Tales of real life; or, Scenes in Ireland; suited to the present condition of the Irish peasantry, with characteristic remarks on their national habits and manners	enk		Mrs	unknown
Jerdan, William	1817.0	Six weeks in Paris; or, A cure for the Gallomania	enk		William	m
Brooke, Frances	1817.0	Manners, a novel. $n: 1	enk		Frances	f
Taylor, (Ann Martin), Mrs	1817.0	Correspondence between a mother and her daughter at school	enk		Ann	f
Bellin de La Liborlière, Louis-François Marie	1817.0	The hero, or the adventures of a night; a romance	enk		Louis	m
Edgeworth, Maria	1817.0	Harrington : a tale ; and Ormond : a tale	enk	English fiction	Maria	f
Friend to rational mirth	1817.0	The London budget of wit, or, A thousand notable jests : many of them never before printed, and the whole arranged on an entire new plan under the following heads : women, royal, noble, clerical, legal, medical, military, naval, theatrical, wit in low life ... : to which is added, by way of appendix, a selection of puns	enk		Friend	unknown
Porter, Anna Maria	1817.0	Don Sebastian; An historical romance	enk		Anna	f
Ryley, Ann	1818.0	Fanny Fitz-York, heiress of Tremorne	enk		Ann	f
Porter, Anna Maria	1818.0	The fast of St. Magdalen : a romance	enk		Anna	f
Morgan	1818.0	Florence Macarthy	enk		Morgan	m
Morgan, (Sydney), Lady	1818.0	Florence Macarthy : an Irish tale	enk		Sydney	m
Defoe, Daniel	1818.0	The adventures of Robinson Crusoe	enk		Daniel	m
Hogg, James	1818.0	The brownie of Bodsbeck, and other tales	stk		James	m
Paddock, Judah	1818.0	A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast	enk		Judah	m
More, Hannah	1818.0	Stories for the middle ranks of society and tales for the common people	enk		Hannah	f
Veal, George	1818.0	"Joel Collier redivivus, : an entirely new edition, of that celebrated author's ""Musical travels;"" containing, among a variety of interesting particulars, a faithful account of his many ingenious experiments, valuable discoveries, and inestimable inventions, for the improvement of students, and the advancement of science in this country"	enk		George	m
Opie, Amelia Alderson	1818.0	Miss Arlington; or, All is not gold that glitters. Proposals of marriage	enk		Amelia	f
Opie, Amelia Alderson	1818.0	White lies. Henry Woodville	enk		Amelia	f
Opie, Amelia Alderson	1818.0	The Quaker, and the young man of the world. A tale of trials	enk		Amelia	f
Opie, Amelia Alderson	1818.0	The confessions of an odd-tempered man. The ruffian boy. The welcome home; or, the ball	enk		Amelia	f
Plumptre, Anne	1818.0	Zelis; or, The way to be happy. The weathercock. The magic dollar	enk		Anne	f
Plumptre, Anne	1818.0	The spectre of Presburg. The fair of Beaucaire. Tsching-Quang	enk		Anne	f
Plumptre, Anne	1818.0	The family of Valencia. Fanny. Omar and Zemida. Philosophy and love	enk		Anne	f
	1818.0	The troubles of a good husband	enk			unknown
Moore, Thomas	1818.0	The Fudge family in Paris	enk		Thomas	m
Taylor, Joseph	1818.0	Antiquitates curiosæ : the etymology of many remarkable old sayings, proverbs, and singular customs	enk		Joseph	m
Dallas, Alexander R. C	1818.0	Felix Alvarez, or, Manners in Spain	enk		Alexander	m
Kinnersley, T. (Thomas)	1818.0	The matrimonial miscellany and mirror of human nature, containing essays on happiness and various subjects connected with conjugal felicity, comprising also several new moral and interesting tales	enk		Thomas	m
Davenport, Selina	1818.0	An angel's form and a devil's heart	enk		Selina	f
Brown, Thomas	1818.0	Bath;	enk		Thomas	m
Brown, Thomas	1818.0	Brighton;	enk		Thomas	m
Hogg, James	1818.0	The brownie of Bodsbeck	enk		James	m
	1818.0	Dunsany	enk			unknown
	1818.0	Jessy	enk			unknown
Stevens, Grace Buchanan	1818.0	Llewellen, or, The vale of Phlinlimmon	stk		Grace	f
Scott, Walter, Sir	1818.0	Rob Roy	stk		Walter	m
Hatton, Ann Julia (Kemble)	1818.0	Secrets in every mansion, or, The surgeon's memorandum-book	enk		Kemble	unknown
Thomas, Elizabeth	1818.0	Woman; or, Minor maxims	enk		Elizabeth	f
More, Hannah	1818.0	Works	enk		Hannah	f
the elder, pseud. Brown, Thomas	1818.0	Brighton; or, The Steyne. A satirical novel	enk		Pseud	unknown
the elder, | pseud. Brown, Thomas	1818.0	Bath : a satirical novel, with portraits	enk		Pseud	unknown
Defauconpret, A.-J.-B. (Auguste-Jean-Baptiste)	1818.0	Anecdotes of the court and family of Napoleon Bonaparte	enk		Auguste	m
	1818.0	Rachel	enk			unknown
	1818.0	The fables of Pilpay	enk			unknown
Elliott, Mary	1818.0	The orphan boy, or, A journey to Bath : to which is added, The orphan girl, founded on facts	enk		Mary	f
	1818.0	A cup of sweets that can never cloy, or Delightful tales for good children	enk			unknown
Cervantes Saavedra, Miguel de	1818.0	Don Quixote de la Mancha	enk	Novel	Miguel	m
	1819.0	The life and death of the Merry deuill of Edmonton	enk			unknown
	1819.0	Antar, a Bedoueen romance	enk			unknown
Genlis, St??phanie F??licit??	1819.0	The new aera; or, Adventures of Julien Delmour: related by himself	enk		Stphanie	unknown
Hope, Thomas	1819.0	Anastasius	enk		Thomas	m
Hutton, Catherine	1819.0	Oakwood Hall	enk		Catherine	f
	1819.0	The two clerks of Oxenford; and Where can it be?	enk			unknown
Mackenzie, Henry	1819.0	The miscellaneous works of Henry Mackenzie, esq	stk		Henry	m
Moreland, Olivia	1819.0	The charms of dandyism, or, Living in style	enk		Olivia	f
Baker, James	1819.0	The life of Sir Thomas Bernard, baronet	enk		James	m
Harding, Anne Raikes	1819.0	Decision	enk		Anne	f
O'Keeffe, Adelaide	1819.0	Dudley	enk		Adelaide	f
Brougham and Vaux, Henry Brougham	1819.0	Forman. A tale	enk		Henry	m
	1819.0	Forman	enk			unknown
	1819.0	Harold the exile	enk			unknown
Brown, Thomas	1819.0	London, or, A month at Steven's	enk		Thomas	m
	1819.0	Melcombe Lodge; or, traits of family pride!	enk			unknown
Barrett, Eaton Stannard	1819.0	The metropolis	enk		Eaton	unknown
Rennie	1819.0	Saint Patrick	stk		Rennie	f
Spence, Elizabeth Isabella	1819.0	A traveller's tale of the last century	enk		Elizabeth	f
	1819.0	Varieties in woman;	enk			unknown
Scott, Walter, Sir	1819.0	Waverley	stk		Walter	m
Scott, Walter, Sir	1819.0	Waverley, Guy Mannering	stk		Walter	m
Scott, Walter, Sir	1819.0	Antiquary, Rob Roy	stk		Walter	m
Scott, Walter, Sir	1819.0	d series	stk		Walter	m
Wall, D	1819.0	Twenty years confinement, or, The Casimirs	enk		D	unknown
	1819.0	The Accidents of youth	enk			unknown
	1820.0	The Tatler, and the Guardian; complete in one volume	enk			unknown
Burney, Sarah Harriet	1820.0	The shipwreck.--II	enk		Sarah	f
Burney, Sarah Harriet	1820.0	Country neighbours; or, The secret	enk		Sarah	f
Hofland, (Barbara), Mrs	1820.0	Tales of the Priory	enk		Barbara	f
Moore, John	1820.0	The works, with memoirs of his life and writings by Robert Anderson	stk		John	m
Galt, John	1820.0	The earthquake; a tale	stk		John	m
Huish, Robert	1820.0	The brothers; or, The Castle of Niolo. A romance	enk		Robert	m
Defoe, Daniel	1820.0	The voyages and adventures of Robinson Crusoe, a seaman of York; who, after suffering many hardships by sea and land, was shipwrecked on the coast of America, and cast ashore on an uninhabited island, where he resided twenty-eight years; with his wonderful discovery and deliverance by an English captain	enk		Daniel	m
Defoe, Daniel	1820.0	Fairburn's edition of The wonderful life and adventures of Robinson Crusoe, of York, mariner; giving a full account of his shipwreck, being cast ashore on an uninhabited island, where he lived 28 years, his miraculous deliverance, &c., &c	enk		Daniel	m
Longueville, Peter	1820.0	The English hermit; or, The adventures of Philip Quarll, who was discovered by Mr. Dorrington [pseud.] a Bristol merchant, upon an uninhabited island, where he has lived above fifty years without any human assistance, still continues to reside, and will not come away	enk		Peter	m
Brydges, Egerton, Sir	1820.0	Darcy. Fitz-Owen. Coningsby	enk		Egerton	unknown
	1820.0	The affectionate pair; or, The history of Sung-kin. A Chinese tale	enk			unknown
Defoe, Daniel	1820.0	Robinson Crusoe	enk		Daniel	m
Miss Holford, (Margaret)	1820.0	Warbeck of Wolfsteïn	enk		Margaret	f
Mackenzie, Mary Jane	1820.0	Geraldine; or, Modes of faith and practice	enk		Mary	f
	1820.0	The eve of St. Agnes;	enk			unknown
M'Donogh, Felix	1820.0	The hermit in the country, or, Sketches of English manners	enk		Felix	m
Reed, Andrew	1820.0	No fiction	enk		Andrew	m
Smollett, T. (Tobias)	1820.0	The miscellaneous works of Tobias Smollett, M.D. : with memoirs of his life and writings	stk		Tobias	m
Necker de Saussure, Albertine Adrienne	1820.0	Sketch of the life, character, and writings of Baroness de Staël-Holstein	enk		Albertine	f
Phillips, Charles	1820.0	The Queen's case stated	enk		Charles	m
Inchbald	1820.0	A simple story	enk		Inchbald	unknown
Virgil	1820.0	The Æneis of Virgil	enk		Virgil	m
Hope, Thomas	1820.0	Anastasius, or, Memoirs of a Greek; written at the close of the 18th century	enk		Thomas	m
	1820.0	The British novelists; with an essay, and prefaces, biographical and critical	enk			unknown
Roche, Regina Maria	1820.0	The Munster cottage boy	enk		Regina	f
Opie, Amelia Alderson	1820.0	Tales of the heart	enk		Amelia	f
	1820.0	Tales of my landlord	enk			unknown
Mackenzie, Henry	1820.0	The man of feeling : and, Julia de Roubigné; a tale in a series of letters	enk		Henry	m
Opie, Amelia	1820.0	Tales of the heart	enk		Amelia	f
	1820.0	Supreme bon ton: and bon ton by profession. A novel	enk			unknown
Delany, (Mary), Mrs	1820.0	Letters from Mrs. Delany, widow of Doctor Patrick Delany, to Mrs. Frances Hamilton, from the year 1779 to the year 1788 : comprising many unpublished and interesting anecdotes of their late Majesties and the royal family	enk		Mary	f
	1820.0	Good-humour; or, My uncle, the general	enk			unknown
Coventry, Francis	1820.0	History of Pompey the Little ; or, The life and adventures of a lap-dog. The vicar of Wakefield: a tale	enk		Francis	m
Boccaccio, Giovanni	1820.0	The Decameron, or Ten days' entertainment, of Boccaccio ... : to which are prefixed, remarks on the life and writings of Boccaccio, and an advertisement, by the author of Old Nick, a Piece of family biography, &c	enk		Giovanni	m
Stillingfleet, Edward	1820.0	On the amusements of clergymen, and Christians in general : three dialogues between a dean and a curate	enk		Edward	m
Irving, Washington	1820.0	The sketch book of Geoffrey Crayon, gent. [pseud.]	enk		Washington	unknown
Jamieson, Frances Thurtle	1820.0	Ashford rectory; or, The spoiled child reformed. Containing a short introduction to the sciences of architecture and heraldry; with a particular account of the Grecian and Roman games, etc. etc	enk		Frances	f
Polglase, Ann, Mrs	1820.0	Some account of the religious exercises and last illness of Loveday Polglase, daughter of John and Ann Polglase, of Bristol, who departed this life, the 18th day of the 7th month, 1822, aged nearly eighteen years	enk		Ann	f
abate, Furbo, Francesco	1820.0	Andrew of Padua, the improvisatore : a tale from the Italian of the Abbate Furbo ; and The vindictive father from the Spanish of Leandra of Valladerras	enk		Furbo	unknown
	1821.0	Malay annals:	enk			unknown
Galt, John	1821.0	The Ayrshire legatees, or, The Pringle family	stk		John	m
Hogg, James	1821.0	The mountain bard ; consisisting of legendary ballads and tales	stk		James	m
Hogg, James	1821.0	Winter evening tales, collected among the cottagers in the South of Scotland	stk		James	m
Warwick, Arthur	1821.0	Warwick's Spare minutes	enk		Arthur	m
Thümmel, Moritz August von	1821.0	Journal of sentimental travels in the southern provinces of France : shortly before the Revolution	enk		Moritz	m
Gascoigne, George	1821.0	The princelye pleasures at the courte at Kenelwoorth : that is to saye, the copies of all such verses, proses, or poeticall inventions, and other devices of pleasure, as were there devised, and presented, by sundry gentlemen, before the Quene's Majestie, in the yeare 1575	enk		George	m
Lockhart, J. G. (John Gibson)	1821.0	Valerius	stk		John	m
Varty-Smith, Augusta A	1821.0	Matthew Tindale	enk		Augusta	f
Brown, Charles Brockden	1821.0	Arthur Mervyn	enk		Charles	m
Delany	1821.0	Letters from Mrs. Delany (widow of Doctor Patrick Delany) to Mrs. Frances Hamilton	enk		Delany	unknown
Hawkins, Laetitia Matilda	1821.0	Heraline;	enk		Laetitia	f
Duckett, J. H	1821.0	The pirate;	enk		J	unknown
Gaspey, Thomas William	1821.0	Calthorpe; or, Fallen fortunes: a novel	enk		Thomas	m
Croker, John Wilson	1821.0	A letter from the king to his people	enk		John	m
	1821.0	Gretna Green; or, The elopement of Miss D--- with a gallant son of Mars	enk			unknown
Anderson, Patrick	1821.0	The picture of a Scottish baron court : a dramatic poem	stk		Patrick	m
	1821.0	The noble and renowned history of Guy, earl of Warwick; containing a full and true account of his many famous and valiant actions, remarkable and brave exploits, and noble and renowned victories	enk			unknown
Henry, Alexander	1821.0	Rolando: a romance	enk		Alexander	m
Marmontel, Jean François	1821.0	Moral tales	enk		Jean	m
Apuleius	1821.0	The golden ass of Lucius Apuleius, of Medaura	enk		Apuleius	unknown
Miss Stockdale, (Mary R.)	1821.0	The life of a boy	enk		Mary	f
Bennett, William	1821.0	The cavalier, a romance	enk		William	m
	1821.0	Concealment	enk			unknown
Stanhope, Louisa Sidney	1821.0	The festival of Mora	enk		Louisa	f
Mackenzie, Mary Jane	1821.0	Geraldine	enk		Mary	f
	1821.0	Happiness;	enk			unknown
	1821.0	Memoirs of a man of fashion	enk			unknown
	1821.0	The priest	enk			unknown
	1821.0	The priest ... $n: 1	enk			unknown
Frere, B	1821.0	Rank and fashion!, or, The mazes of life	enk		B	unknown
Smith, Charlotte Turner	1821.0	The republican's mistress;	enk		Charlotte	f
Sidney, Philip Francis	1821.0	The ruling passion	enk		Philip	m
	1821.0	Scheming	enk			unknown
Moore, Alicia Radford	1821.0	The sisters	enk		Alicia	f
Moore, Alicia Radford	1821.0	The sisters: a novel, in four volumes	enk		Alicia	f
	1821.0	Such is the world	enk			unknown
Knox, Vicesimus	1821.0	Ancient and classical	enk		Vicesimus	unknown
Knox, Vicesimus	1821.0	Middle of the last century	enk		Vicesimus	unknown
Johnson, Arthur	1821.0	Dinan : a romance	enk		Arthur	m
	1821.0	The rambles of my uncle	enk			unknown
Gascoigne, Henry Barnet	1821.0	Sympathy in search of peace at home	enk		Henry	m
Edgeworth, Maria	1821.0	Petty scandal. Airs and graces. The nine days' wonder. Egerton abbey.--vol	enk		Maria	f
Edgeworth, Maria	1821.0	The black lane. The palanquin. The forest drive. Morning visits. The bracelet of memory. Blind Kate. The print gallery. The departure	enk		Maria	f
Kelty, Mary Ann	1821.0	The favourite of nature; a tale	enk		Mary	f
	1821.0	The Arabian nights' entertainments : consisting of one thousand and one stories	enk			unknown
pseud. Fabius	1821.0	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	enk		Pseud	unknown
	1821.0	Maurice Powell: an historical Welsh tale of England's troubles	enk			unknown
	1821.0	Ballantyne's novelist's library	enk			unknown
	1821.0	Adventures of Johnny Newcome in the army	enk			unknown
Reeve, Clara	1821.0	Fatherless Fanny, or, A young lady's first entrance into life	enk		Clara	f
[Wilkins, George]	1822.0	Body and soul	enk		George	m
Porter, Anna Maria	1822.0	Roche-blanche;	enk		Anna	f
Porter, Anna Maria	1822.0	Roche-blanche; or, The hunters of the Pyrenees. A romance	enk	Gothic fiction	Anna	f
Cunningham, Allan	1822.0	Traditional tales of the English and Scottish peasantry	enk		Allan	m
Misses. Cuthbertson	1822.0	Romance of the Pyrenees	enk		Misses	unknown
Gaspey, Thomas	1822.0	The Lollards: a tale, founded on the persecutions which marked the early part of the fifteenth century	enk		Thomas	m
Wilson, John	1822.0	Lights and shadows of Scottish life : a selection from the papers of the late Arthur Austin	stk		John	m
Galt, John	1822.0	The provost	stk		John	m
Galt, John	1822.0	Sir Andrew Wylie, of that ilk	stk		John	m
Galt, John	1822.0	The steam-boat	stk		John	m
pseud. Philo-Milton	1822.0	"A vindication of the Paradise lost from the charge of exculpating ""Cain"", a mystery"	enk		Pseud	unknown
Davis, John Francis, Sir	1822.0	Chinese novels, translated from the originals; to which are added proverbs and moral maxims, collected from their classical books and other sources. The whole prefaced by observations on the language and literature of China	enk		John	m
	1822.0	Blighted ambition, or, The rise and fall of the Earl of Somerset : a romance in three volumes	enk			unknown
Peacock, Thomas Love	1822.0	Headlong Hall	enk		Thomas	m
Hook, James	1822.0	Pen Owen [a novel]	stk		James	m
Edridge, Rebecca	1822.0	The scrinium	enk		Rebecca	f
Egan, Pierce	1822.0	The life and extraordinary adventures of Samuel Denmore Hayward	enk		Pierce	m
Louvet de Couvray, Jean-Baptiste	1822.0	The amours of the chevalier de Faublas	enk		Jean	m
Irving, Washington	1822.0	Bracebridge hall; or, The humorists	enk	Illustrated works	Washington	unknown
Lamb, Caroline	1822.0	Graham Hamilton	enk		Caroline	f
Brown, Charles Brockden	1822.0	Wieland, an American tale	enk		Charles	m
Mikhaĭlov, Vasiliĭ	1822.0	Adventures of Michailow, a Russian captive among the Kalmucs, Kirghiz, and Kiwenses	enk		Vasili	m
Bennett, William 1796-1879	1822.0	Malpas;	enk		William	m
Bennett, William 1796-1879	1822.0	Malpas : or, Le poursuivant d'amour ; a romance	enk		William	m
Nicol, John	1822.0	The life and adventures of John Nicol, mariner	stk		John	m
Rees, Thomas	1822.0	A journal of voyages and travels	enk		Thomas	m
Countess of., Guernsey	1822.0	The death-bed confessions of the late Countess of Guernsey, to Lady Anne Hamilton, developing a series of mysterious transactions connected with the most illustrious personages in the kingdom. To which are added, the Queen's last letter to the King, written a few days before Her Majesty's death, and other authentic documents, never before published	enk		Guernsey	unknown
	1822.0	The Metropolis. A novel	enk			unknown
Edgeworth, Maria	1822.0	The basket woman -- The white pigeon -- The orphans --  Waste not, want not -- Forgive and forget	enk		Maria	f
	1822.0	Blighted ambition, or, The rise and fall of the Earl of Somerset	enk			unknown
Merrywhistle, Marmaduke	1822.0	Isn't it odd?	enk		Marmaduke	unknown
	1822.0	Lemira of Lorraine	enk			unknown
Kelty, Mary Ann	1822.0	Osmond	enk		Mary	f
White, Joseph Blanco	1822.0	Vargas	enk		Joseph	m
Green, Sarah	1822.0	Who is the bridegroom?	enk		Sarah	f
Smith, Charlotte Turner	1822.0	The old manor-house; a novel	enk		Charlotte	f
[Bennet, William]	1822.0	Malpas;	enk		William	m
	1822.0	Passion; a tale	enk			unknown
Harding, Anne Raikes	1822.0	The refugees, an Irish tale	enk		Anne	f
Edgeworth, Maria	1822.0	Rosamond; a sequel to Early lessons	enk		Maria	f
Viscount, Dillon, Henry Augustus Dillon-Lee	1822.0	The life and opinions of Sir Richard Maltravers,: an English gentleman of the seventeenth century	enk		Dillon	m
Mainwaring, Mrs	1822.0	Moscow; or, The grandsire, an historical tale	enk		Mrs	unknown
Mackenzie, Henry	1822.0	The works of Henry Mackenzie, with a sketch of the author's life	enk		Henry	m
Brown, Charles Brockden	1822.0	Stephen Calvert	enk		Charles	m
Brown, Charles Brockden	1822.0	Stephen Calvert. Jessica. The scribbler	enk		Charles	m
Anley, Charlotte	1822.0	Influence; a moral tale for young people	enk		Charlotte	f
Hatton, Ann Julia	1822.0	Guilty or not guilty, or, A lesson for husbands : a tale	enk		Ann	f
Miss Macauley, (Elizabeth Wright)	1822.0	Tales of the drama. Founded on the tragedies of Shakspeare, Massinger, Shirley, Rowe, Murphy, Lillo, and Moore, and on the comedies of Steele, Farquhar, Cumberland, Bickerstaff, Goldsmith, and Mrs. Cowley	enk		Elizabeth	f
Mant, Alicia Catherine	1822.0	The cottage in the chalk-pit	enk		Alicia	f
	1822.0	Incidents of childhood	enk			unknown
	1822.0	Mirror of amusement	enk			unknown
Cervantes Saavedra, Miguel de	1822.0	The gipsy girl. The liberal lover. The Spanish English lady. The two maiden ladies. The force of blood	enk		Miguel	m
[Proctor, G.]	1823.0	The lucubrations of Humphrey Ravelin, esq. [pseud.] Late major in the * * regiment of infantry	enk		G	unknown
Mason, Catherine George (Ward), Mrs	1823.0	The cottage on the cliff	enk		Ward	m
advocate. Wilson, James	1823.0	The fire-eater	stk		James	m
	1823.0	Royal memoirs on the French revolution: Containing, I. A narrative of the journey of Louis XVI. and his family to Varennes, by Madame Royale, duchess of Angoulême. II. A narrative of a journey to Bruxelles and Coblentz in 1791, by Monsieur, now Louis XVIII. III. Private memoirs of what passed in the Temple, from the imprisonment of the royal family to the death of the Dauphin, by Madame Royale, duchess of Angoulême	enk			unknown
Galt, John	1823.0	The spaewife; a tale of the Scottish chronicles	stk		John	m
Lamb, Caroline	1823.0	Ada Reis	enk		Caroline	f
Defoe, Daniel	1823.0	The life and adventures of Robinson Crusoe	enk		Daniel	m
Swift, Jonathan	1823.0	The select works of Jonathan Swift ... Containing the whole of his poetical works, the Tale of a tub, Battle of the books, Gulliver's travels, Directions to servants, Polite conversation, Art of punning, Miscellaneous pieces in prose, &c. ... Embellished with engravings	enk		Jonathan	m
	1823.0	Tatler	enk			unknown
	1823.0	Spectator	enk			unknown
	1823.0	Rambler	enk			unknown
	1823.0	Connoisseur	enk			unknown
	1823.0	Mirror	enk			unknown
	1823.0	Lounger	enk			unknown
	1823.0	Observer	enk			unknown
	1823.0	Looker-on	enk			unknown
Shelley, Mary Wollstonecraft	1823.0	Valperga : or, The life and adventures of Castruccio, Prince of Lucca	enk		Mary	f
Logan, Eliza	1823.0	St. Johnstoun	stk		Eliza	f
Louis	1823.0	Narrative of a journey to Brussels and Coblentz, 1791	enk		Louis	m
Helme, Elizabeth	1823.0	The farmer of Inglewood Forest; or, An affecting portrait of virtue and vice	enk		Elizabeth	f
Galt, John	1823.0	Ringan Gilhaize; or, The covenanters	stk		John	m
Ward, Catherine G. (Catherine George)	1823.0	The mysteries of St. Clair; or, Mariette Mouline	enk		Catherine	f
	1823.0	The School for sisters, or, The lesson of experience	enk			unknown
	1823.0	Isabella	enk			unknown
	1823.0	Isabella. A novel	enk			unknown
	1823.0	Popular tales and romances of the northern nations	enk			unknown
Grattan, Thomas Colley	1823.0	High-ways and by-ways, or, Tales of the roadside : picked up in the French provinces	enk		Thomas	m
Amory, Thomas	1823.0	The spirit of Buncle, or, The surprising adventures of that original and extraordinary character John Buncle, Esq	enk		Thomas	m
Viscountess, Melbourne, Caroline Ponsonby Lamb	1823.0	Ada Reis, a tale	enk		Melbourne	unknown
Swift, Jonathan	1823.0	The select works of Jonathan Swift : containing the whole of his poetical works, the Tale of a Tab, Battle of the Books, Gulliver's travels, Directions to servants, Art of Punning, etc	enk		Jonathan	m
Grimm, Jacob	1823.0	German popular stories : translated from the Kinder und haus Marchen	enk		Jacob	m
Mme., Panam, Pauline Adélaïde Alexandre	1823.0	Memoirs of a young Greek lady : Madame Pauline Adelaide Alexandre Panam, against His Serene Highness the reigning Prince of Saxe-Cobourg	enk		Panam	unknown
Roche, Regina Maria	1823.0	Bridal of Dunamore;	enk		Regina	f
Balfour, Alexander	1823.0	The foundling of Glenthorn, or, The smuggler's cave	enk		Alexander	m
Grattan, Thomas Colley	1823.0	High-ways and by-ways;	enk		Thomas	m
Cuthbertson, Catherine	1823.0	The hut and the castle	enk		Catherine	f
Sutherland, Alexander	1823.0	Macrimmon	enk		Alexander	m
Gaspey, Thomas	1823.0	Other times; or, the monks of Leadenhall	enk		Thomas	m
Sullivan, Mary Ann	1823.0	Owen Castle, or, Which is the heroine?	enk		Mary	f
Beall, Noble Y	1823.0	Precipitance;	stk		Noble	m
Lockhart, J. G. (John Gibson)	1823.0	Reginald Dalton	stk		John	m
Meeke, Mary	1823.0	What shall be, shall be	enk		Mary	f
Kennedy, Grace	1823.0	Willoughby;	enk		Grace	f
Panam, Pauline Adélaïde Alexandre, Mme	1823.0	Memoirs of a young Greek lady; or, Madame Pauline Adelaide Alexandre Panam, versus His Most Serene Highness the reigning Prince of Saxe-Cobourg	enk		Pauline	f
Lamb, Caroline, Lady	1823.0	Ada Reis : a tale	enk		Caroline	f
M'Donogh, Felix	1823.0	The hermit abroad	enk		Felix	m
Le Sage, Alain René	1823.0	The life and adventures of Guzman D'Alfarache, or The Spanish rogue	enk		Alain	m
Reed, Andrew	1823.0	Martha : a memorial of an only and beloved sister	enk		Andrew	m
Bennett, William	1823.0	The king of the Peak, a romance	enk		William	m
Galt, John	1823.0	Ringan Gilhaize; or, The times of the convenanters	stk		John	m
Kennedy, Grace	1823.0	Willoughby; or, Reformation; the influence of religious principles	enk		Grace	f
Kelty, Mary Ann	1823.0	Osmond; a tale	enk		Mary	f
Deacon, William Frederick	1823.0	The inn-keeper's album	enk		William	m
Edgeworth, Maria	1823.0	The lottery. Rosanna. Murad the unlucky. The manufacturers	enk		Maria	f
Edgeworth, Maria	1823.0	The contrast. The grateful Negro. To-morrow	enk		Maria	f
	1823.0	Tales of my father, and my friends	enk			unknown
Crabbe, George	1823.0	The works	enk		George	m
Jarvis, T. M	1823.0	Accredited ghost stories	enk		T	unknown
	1823.0	Winter evenings : or lucubrations on life and letters	enk			unknown
	1823.0	The Novels of Sterne, Goldsmith, Dr. Johnson, Mackenzie, Horace Walpole, and Clara Reeve : to which are prefixed memoirs of the lives of the authors	enk			unknown
Homer	1823.0	The Odyssey of Homer	enk		Homer	m
Earl of Orford, Walpole, Horatio William	1823.0	The Castle of Otranto : a Gothic story	enk		Horatio	m
Montgomery, James	1824.0	Prose	enk		James	m
Mason, Catherine George (Ward), Mrs	1824.0	The mysterious marriage; or, The will of my father	enk		Ward	m
Lockhart, J. G. (John Gibson)	1824.0	The history of Matthew Wald	stk		John	m
duchesse d', Orléans, Charlotte-Elisabeth	1824.0	Secret memoirs of the court of Louis XIV. and of the regency	enk		Orlans	unknown
Gaspey, Thomas	1824.0	The witch-finder; or, The wisdom of our ancestors. A romance	enk		Thomas	m
Hook, James	1824.0	Percy Mallory	stk		James	m
Hook, Theodore Edward	1824.0	Danvers. The friend of the family	enk		Theodore	m
Hook, Theodore Edward	1824.0	The friend of the family (concluded) Merton	enk		Theodore	m
Hook, Theodore Edward	1824.0	Merton (concluded) Martha, the gypsy	enk		Theodore	m
Galt, John	1824.0	Rothelan : a romance of the English histories	stk		John	m
