author	inferreddate	shorttitle	place	genres	first_name	estimated_gender
Le Sage, Alain René	1793.0	The devil upon two sticks : translated from the Diable boiteaux of M. Le Sage : embellished with engravings : to which are prefixed Asmodeus's crutches, a critical letter upon the work, and Dialogues between two chimnies of Madrid	enk		Alain	m
Hayley, William	1793.0	A philosophical, historical, and moral essay on old maids	enk		William	m
Franklin, Benjamin	1793.0	Works of the late Doctor Benjamin Franklin, consisting of his life written by himself, together with Essays, humorous, moral & literary, chiefly in the manner of the Spectator	enk		Benjamin	m
Gunning, (Susannah), Mrs	1794.0	Memoirs of Mary, a novel	enk		Susannah	f
Bennett, (Agnes Maria), Mrs	1794.0	Ellen, Countess of Castle Howel, a novel	enk		Agnes	f
Naubert, Benedikte	1794.0	Herman of Unna: a series of adventures of the fifteenth century, in which the proceedings of the secret tribunal under the emperors Winceslaus and Sigismond, are delineated	enk		Benedikte	f
Naubert, Benedikte	1794.0	d ed	enk		Benedikte	f
Moser, Joseph	1794.0	Turkish tales	enk		Joseph	m
Smith, Charlotte Turner	1794.0	The wanderings of Warwick	enk		Charlotte	f
Miss Gunning, (Elizabeth)	1794.0	The packet: a novel	enk		Elizabeth	f
Sterne, Laurence	1794.0	The letters of the late Laurence Sterne to his most intimate friends : with a fragment in the manner of Rabelais	enk		Laurence	f
Davies, J	1794.0	Adolescence; or, Juvenile prosperity and cottage friendship	enk		J	unknown
Naubert, Benedikte	1794.0	Herman of Unna	enk		Benedikte	f
Cumberland, Richard	1795.0	Arundel	enk		Richard	m
Smith, Charlotte Turner	1795.0	d ed	enk		Charlotte	f
Smith, Charlotte Turner	1795.0	The banished man: a novel	enk		Charlotte	f
Smith, Charlotte Turner	1795.0	Montalbert : a novel	enk		Charlotte	f
	1795.0	The life of John Metcalf, commonly called Blind Jack of Knaresborough. With many entertaining anecdotes of his exploits in hunting, card-playing, &c. Some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in Yorkshire, Derbyshire, and Cheshire	enk			unknown
Trenck, Friedrich	1795.0	The life and surprising adventures of Frederick Baron Trenck	enk		Friedrich	m
Lavater, Johann Caspar	1795.0	Secret journal of a self-observer	enk		Johann	m
Cumberland, Richard	1795.0	Henry;	enk		Richard	m
Radcliffe, Ann Ward	1795.0	A journey made in the summer of 1794 : through Holland and the western frontier of Germany, with a return down the Rhine : to which are added, observations during a tour to the lakes of Lancashire, Westmoreland, and Cumberland	enk		Ann	f
Quevedo, Francisco de	1795.0	Visions	enk		Francisco	m
	1796.0	Travels before the flood. An interesting oriental record of men and manners in the antidiluvian world, interpreted in fourteen evening conversations between the caliph of Bagdad & his court	enk			unknown
	1796.0	The masquerade; or, The history of Lord Avon and Miss Tameworth	enk			unknown
Walker, George	1796.0	Theodore Cyphon: or, The benevolent Jew. A novel	enk		George	m
Wollstonecraft, Mary	1796.0	Original stories from real life; with conversations, calculated to regulate the affections, and form the mind to truth and goodness	enk		Mary	f
Cramer, Karl Gottlieb	1796.0	Albert de Nordenshild: or, The modern Alcibiades. A novel, tr. from the German	enk		Karl	m
Wieland, Christoph Martin	1796.0	Private history of Peregrinus Proteus, the philosopher	enk		Christoph	m
Hoccleve, Thomas	1796.0	Poems	enk		Thomas	m
Burney, Fanny	1796.0	Camilla: or, A picture of youth	enk		Fanny	f
Hamilton, Elizabeth	1796.0	Translation of the letters of a Hindoo rajah : written previous to, and during the period of his residence in England : to which is prefixed a preliminary dissertation on the history, religion, and manners, of the Hindoos	enk		Elizabeth	f
Rowe, Elizabeth Singer	1796.0	&	enk		Elizabeth	f
Rowe, Elizabeth Singer	1796.0	Dialogues.  Familiar letters.  Life of the author	enk		Elizabeth	f
M. d' Auvigny, (Jean Du Castre)	1796.0	Memoirs of Madame de Barneveldt [pseud.]	enk		Jean	m
Whitmore, H	1796.0	Modern Gulliver's travels. Lilliput: being a new journey to that celebrated island. Containing a faithful account of the manners, character, customs, religion, laws, politics, revenue, taxes, learning, general progress in arts and sciences, dress, amusements, and gallantry of those famous little people. From the year 1702, when they were first discovered and visited by Captain Lemuel Gulliver, the father of the compiler of this work, to the present aera 1796	enk		H	unknown
	1796.0	Preceptive, moral, and sentimental pieces. On the duties of the young	enk			unknown
West, (Jane), Mrs	1797.0	A gossip's story, and a legendary tale	enk		Jane	f
Hall, William Henry	1797.0	The new encyclopaedia; or, Modern universal dictionary of arts and sciences. On a new and improved plan. In which all the ... sciences are arranged into complete systems, the arts digested into distinct treatises, and philosophical subjects introduced in separate dissertations ... Including all the material information that is contained in Chambers's Cyclopaedia, the Encyclopaedia Britannica, and the French Encyclopedie	enk		William	m
Le Sage, Alain René	1797.0	The history of Vanillo Gonzales	enk		Alain	m
Pope, Alexander	1797.0	The works of Alexander Pope, esq.;	enk		Alexander	m
Marshall, Edmund	1797.0	Edmund and Eleonora, or, Memoirs of the houses of Summerfield & Gretton, a novel	enk		Edmund	m
Lewis, Alethea	1797.0	Disobedience. A novel	enk		Alethea	unknown
Scott, Sarah	1797.0	The man of real sensibility: or, The history of Sir George Ellison. : Founded on fact	stk		Sarah	f
	1797.0	The force of example; or, The history of Henry and Caroline: written for the instruction and amusement of young persons	enk			unknown
Rulhière, Claude Carloman de	1797.0	The history, or anecdotes, of the revolution in Russia, in the year 1762. Tr. from the French	enk		Claude	m
Stanhope, Eugenia	1798.0	The deportment of a married life: laid down in a series of letters	enk		Eugenia	f
Quevedo, Francisco de	1798.0		stk		Francisco	m
Quevedo, Francisco de	1798.0	The author's life. The visions	stk		Francisco	m
Quevedo, Francisco de	1798.0	The life of Paul the Spanish sharp	stk		Francisco	m
Trimmer, (Sarah), Mrs	1798.0	Fabulous histories. Designed for the instruction of children, respecting their treatment of animals	enk		Sarah	f
Sterne, Laurence	1798.0	The works of Laurence Sterne	enk		Laurence	f
Gilpin, William	1798.0	Moral contrasts: or, the power of religion exemplified under different characters	enk		William	m
Cumberland, Richard	1798.0	The observer	enk		Richard	m
Stout, Benjamin	1798.0	Narrative of the loss of the ship Hercules, commanded by Captain Benjamin Stout, on the coast of Caffraria, the 16th of June, 1796; also, a circumstantial detail of his travels through the southern deserts of Africa, and the colonies, to the Cape of Good Hope. With an introductory address to the Rt. Honourable John Adams, president of the Continental Congress of America	enk		Benjamin	m
Campbell, Donald	1798.0	A narrative of the extraordinary adventures, and sufferings by shipwreck & imprisonment, of Donald Campbell ... : with the singular humours of his Tartar guide Hassan Artaz; comprising the occurrences of four years and five days, in an overland journey to India	enk	Armorial bookplates (Provenance)|CtY-BR	Donald	m
comtesse de, Genlis, Stéphanie Félicité	1798.0	th ed	enk		Stphanie	unknown
Helme, Elizabeth	1798.0	Instructive rambles in London, and the adjacent villages. Designed to amuse the mind, and improve the understanding of youth	enk		Elizabeth	f
Madame Leprince de Beaumont, (Jeanne-Marie)	1798.0	Letters of Madame Du Montier	enk		Jeanne	f
Cumberland, Richard	1799.0	The Observer: being a collection of moral, literary and familiar essays	enk		Richard	m
Meeke, Mary	1799.0	Ellesmere. A novel	enk		Mary	f
Barthélemy, J.-J. (Jean-Jacques)	1799.0	Carite and Polydorus	enk		Jean	m
Campe, Joachim Heinrich	1799.0	The new Robinson Crusoe, designed for the amusement and instruction of the youth of both sexes. Translated from the original German	enk		Joachim	m
	1799.0	Frederic Latimer; or, The history of a young man of fashion	enk			unknown
Lee, Harriet	1799.0	Canterbury tales	enk		Harriet	f
Robinson, Mary Darby	1799.0	The false friend: a domestic story	enk		Mary	f
Walker, George	1799.0	The vagabond : a novel	enk		George	m
	1799.0	The hare; or, Hunting incompatible with humanity	enk			unknown
Lafontaine, August Heinrich Julius	1799.0	Romulus, a tale of ancient times	enk		August	m
Lantier, Etienne François de	1799.0	The travels of Antenor in Greece and Asia : from a Greek manuscript found at Herculaneum : including some account of Egypt	enk	France|Novels	Etienne	m
	1800.0	The prophetic warning; or, The castle of Lindendorff. An original romance	enk			unknown
	1800.0	The history of Zoa, the beautiful Indian, daughter of Henrietta de Bellgrave; and of Rodomond	enk			unknown
Moore, John	1800.0	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality	enk		John	m
[Burges, Mary Anne]	1800.0	The progress of the pilgrim Good-Intent, in Jacobinical times	enk		Mary	f
allegorist. Mitchell, John	1800.0	The female pilgrim; or, The travels of Hephzibah. Under the similitude of a dream ... Interspersed with variety of reflections, dialogues, songs, &c	enk		John	m
Defoe, Daniel	1800.0	The life and adventures of Robinson Crusoe. Embellished with elegant engravings	enk		Daniel	m
Smith, Charlotte Turner	1800.0	The story of Edouarda	enk		Charlotte	f
Smith, Charlotte Turner	1800.0	The story of Henrietta	enk		Charlotte	f
Smith, Charlotte Turner	1800.0	The story of Corisande	enk		Charlotte	f
Smith, Charlotte Turner	1800.0	The Hungarian	enk		Charlotte	f
Smith, Charlotte Turner	1800.0	The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle	enk		Charlotte	f
	1800.0	Officer, artist, and miner	enk			unknown
Ostlere, May	1800.0	Dead!	enk		May	f
Wordboise, Emma Jane	1800.0	Lady Clarissa	enk		Emma	f
Surtees, Robert Smith	1800.0	"""Ask mamma"", or, The richest commoner in England"	enk	Novel	Robert	m
Surtees, Robert Smith	1800.0	"""Plain or ringlets?"""	enk		Robert	m
Trollope, Anthony	1800.0	[Sir Harry Hotspur]	enk		Anthony	m
	1800.0	Select comic tales from the best authors	stk			unknown
Musäus, Johann Karl August	1800.0	Physiognomical travels, preceded by a physiognomical journal	enk		Johann	m
Lathom, Francis	1800.0	Men and manners, a novel. $n: In four volumes	enk		Francis	m
Schiller, Friedrich	1800.0	The Armenian; or, The ghost seer	enk		Friedrich	m
Voltaire	1800.0	Zadig: or, The book of fate, an oriental history	enk		Voltaire	m
