docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match
uiuo.ark+=13960=t1bk1qb2j,"Cunningham, H. S","Cunningham, H. S. (Henry Stewart), Sir",b. 1832.,1875.0,1875.0,s,1875,    ,"London;Smith, Elder & co.;1875.",1875,,,,,PZ3.C9169C,16625154.0,enk,8718839,1,2.0,2.0,v.1,1.0,Chronicles of Dustypore;,,True,Chronicles of Dustypore;,0.1964025603290705,0.2066286116889536,Henry,m,6.288025889967638,6.082089630397671,21.365384615384617,15.75751972386588,152.0096153846154,976.3813178007888,1.8,['fiction'],['fiction and juvenile belles lettres'],chronicles of dustypore;  chronicles of dustypore;,False,False,False,False,False,False,False,False,False,True
uiuo.ark+=13960=t6251wg82,"Brew, Margaret W","Brew, Margaret W",,1885.0,1885.0,s,1885,    ,"London;Chapman and Hall, limited;1885.",1885,,,,,PZ3.B7565Ch2,13106011.0,enk,8718838,1,1.0,1.0,v.1,1.0,The chronicles of Castle Cloyne;,,True,The chronicles of Castle Cloyne;,0.0848132887619311,0.1255323136126747,Margaret,f,10.05688622754491,12.874009466097746,28.85459940652819,27.922478845459587,259.59050445103856,3799.120147223274,1.4,['unknown'],['fiction and juvenile belles lettres'],the chronicles of castle cloyne;  the chronicles of castle cloyne;,False,False,False,False,False,False,False,False,False,True
nyp.33433074863303,"Grant, David","Grant, David",1823-1886.,1887.0,1886.0,s,1887,    ,Edinburgh;E. & S. Livingstone;1887].,1887,2nd ed.,,Folklore|Scotland,,,19876222.0,stk,8665701,1,2.0,2.0,,,"Scotch stories : | or, The chronicles of Keckleton / | $c: by David Grant.",,True,"Scotch stories : or, The chronicles of Keckleton",0.1209853250810396,0.0200431371537369,David,m,10.50900900900901,15.23190081973866,33.1057268722467,28.764152224960696,371.7180616740088,8525.259717828794,1.8,['fiction'],['unknown'],"scotch stories : | or, the chronicles of keckleton / | $c: by david grant.  scotch stories : or, the chronicles of keckleton",True,False,False,False,False,False,False,False,False,True
mdp.39015065597083,"Trollope, Anthony","Trollope, Anthony",1815-1882.,1889.0,1882.0,m,1889,1894,London;Chapman and Hall;1891-,1891,Vols. 1-2 The warden and Barchester towers.-v. 3. Doctor Thorne.-v. 4 Framley parsonage.-v. 5-6. The small house at Allington.-v. 7-8. The last chronicle of Barset.,,"Barchester (England : Imaginary place)|Clergy|England|Trollope, Anthony|Barsetshire (England : Imaginary place)|Social life and customs|19th century|1815-1882",,PR5684.C57 1889,12867826.0,enk,5273270,1,2.0,1.0,v.1 1891,1.0,The chronicles of Barsetshire / | $c: by Anthony Trollope.,The warden and Barchester towers,True,The warden and Barchester towers,0.0830079965220345,0.0215537452456526,Anthony,m,16.575447570332482,34.48471687129204,31.738035264483628,62.96915785266069,398.98992443324937,12253.601913596309,2.2,['fiction'],['english literature'],the chronicles of barsetshire / | $c: by anthony trollope. the warden and barchester towers the warden and barchester towers,False,False,False,False,False,False,False,False,False,True
mdp.39015065597067,"Trollope, Anthony","Trollope, Anthony",1815-1882.,1889.0,1882.0,m,1889,1894,London;Chapman and Hall;1891-,1891,Vols. 1-2 The warden and Barchester towers.-v. 3. Doctor Thorne.-v. 4 Framley parsonage.-v. 5-6. The small house at Allington.-v. 7-8. The last chronicle of Barset.,,"Gentry|Fathers and daughters|Church of England|Barsetshire (England : Imaginary place)|Man-woman relationships|19th century|1815-1882|Clergy|England|Religion|History|Trollope, Anthony|Social life and customs",,PR5684.C57 1889,12867826.0,enk,5273270,1,21.33333333333333,12.333333333333336,v.3 1893,3.0,The chronicles of Barsetshire / | $c: by Anthony Trollope.,Doctor Thorne,True,Doctor Thorne,0.0854573540471192,0.0538578739945918,Anthony,m,27.997752808988764,60.64493877035729,44.42984409799555,41.113675031373845,587.3563474387528,10226.683706926058,2.0,['fiction'],['english literature'],the chronicles of barsetshire / | $c: by anthony trollope. doctor thorne doctor thorne,False,False,False,False,False,False,False,False,False,True
uc1.b3505971,"Sir, Scott, Walter","Scott, Walter, Sir",1771-1832.,1892.0,1832.0,m,1892,1894,"London;Edinburgh;A. and C. Black; etc., etc.;1892-94",1892-1894,Dryburgh ed.|I. Waverley.--II. Guy Mannering.--III. The antiquary.--IV. Rob Roy.--V. The black dwarf and A legend of Montrose.--VI. Old Mortality.--VII. The heart of Midlothian.--VIII. The bride of Lammermoor.--IX. Ivanhoe.--X. The monastery.--XI. The abbot.--XII. Kenilworth.--XIII. The priate.--XIV. The fortunes of Nigel.--XV. Peveril of the Peak.--XVI. Quentin Durward.--XVII. St. Ronan's well.--XVIII. Redgauntlet.--XIX. The betrothed and the Highland widow.--XX. The talisman. Chronicles of th,,,,PZ3,847770.0,enk,6665462,1,1.0,1.0,v.16,16.0,The Waverley novels.,The talisman. Chronicles of th,False,The talisman. Chronicles of th,0.0665290371496898,0.0419504805749311,Walter,m,14.11439842209073,33.79361911542157,41.682785299806575,382.0270344084494,467.77949709864606,21035.3092121262,4.6,['fiction'],['fiction and juvenile belles lettres'],the waverley novels. the talisman. chronicles of th the talisman. chronicles of th,False,False,False,False,False,False,False,False,False,True
uiuo.ark+=13960=t50g41v61,"Fuller, J. F","Fuller, J. F",,1892.0,1892.0,s,1892,    ,Edinburgh;W. Blackwood;1892.,1892,,,,,,5508513.0,stk,8718840,1,1.0,1.0,v.1,1.0,Chronicles of Westerly,,True,Chronicles of Westerly,0.1534400300287257,0.0030958499131131,J,unknown,9.030075187969924,24.84120074622647,25.725925925925925,33.91747599451304,184.05185185185184,3263.2417558299035,1.8,['fiction'],['unknown'],chronicles of westerly  chronicles of westerly,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t6d224v2f,"Ackworth, John","Ackworth, John",,1896.0,1896.0,s,1896,    ,London;Charles H. Kelly;1896.,1896,,,,,,364852429.0,enk,7707977,1,1.0,1.0,,,Clog shop chronicles,,True,Clog shop chronicles,0.1436981138461021,0.0168653583849876,John,m,10.41033434650456,57.59150414353157,35.17210682492582,106.04159585802462,248.19881305637983,6601.524271588198,3.2,['fiction'],['unknown'],clog shop chronicles  clog shop chronicles,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t39023q38,"Donovan, Dick","Donovan, Dick",1843-1934.,1897.0,1897.0,s,1897,    ,London;Chatto & Windus;1897.,1897,,,,,,8661806.0,enk,7687488,1,1.0,1.0,,,The chronicles of Michael Danevitch of the Russian secret service,,True,The chronicles of Michael Danevitch of the Russian secret service,0.2387430027165313,0.0039882729159828,Dick,m,32.15428571428571,1859.1590530612243,57.92307692307692,2307.655051501205,450.9002849002849,31024.59119650003,3.7,['fiction'],['unknown'],the chronicles of michael danevitch of the russian secret service  the chronicles of michael danevitch of the russian secret service,False,False,False,False,False,False,False,False,False,True
nnc1.cu55085962,,,,1898.0,1898.0,s,1898,    ,Glasgow;Morison Bros.;1898.,1898,Our Jeames. -- The crack o' doom. -- The truth o't.,,,,,5739301.0,stk,8428401,1,1.0,1.0,,,The chronicles of Kartdale : | Our Jeames / | $c: edited by J. Murdoch Henderson.,,True,The chronicles of Kartdale : Our Jeames,0.0641913557724141,0.027860974277131,,unknown,13.666666666666666,24.426900584795323,30.597101449275364,22.014484352026887,316.7449275362319,3353.134938038228,2.2,['fiction'],['unknown'],the chronicles of kartdale : | our jeames / | $c: edited by j. murdoch henderson.  the chronicles of kartdale : our jeames,False,False,False,False,False,False,False,False,False,True
njp.32101063581332,"Hilzinger, John George","Hilzinger, John George",,1899.0,1899.0,s,1899,    ,London;New York;F. T. Neely;1899.,1899,,,,,,5916350.0,enk,8916642,1,1.0,1.0,,,"The skystone : | a romance of prehistoric Arizona, being vol. I of the Chronicles of Mázacl / | $c: by J. Geo. Hilzinger.",,True,"The skystone : a romance of prehistoric Arizona, being vol. I of the Chronicles of Mázacl",0.2346228385717491,0.1031974637519032,John,m,12.062283737024222,20.003041151327213,24.989864864864863,42.30057295471146,249.1047297297297,6064.634301953981,2.0,['fiction'],['unknown'],"the skystone : | a romance of prehistoric arizona, being vol. i of the chronicles of mázacl / | $c: by j. geo. hilzinger.  the skystone : a romance of prehistoric arizona, being vol. i of the chronicles of mázacl",False,False,False,False,False,False,False,False,False,True
njp.32101073814392,"Froissart, Jean","Froissart, Jean",1338?-1410?,1904.0,1895.0,r,1904,1895,"London;Macmillan and Co., Limited;New York;The Macmillan Company;1904",1904,,,"476-1492|History|Hundred Years' War, 1339-1453",Europe,,24391118.0,enk,9019254,1,1.0,1.0,,,"The Chronicles of Froissart / | $c: tr. by John Bourchier, lord Berners, ed. and reduced into one volume by G.C. Macaulay ...",,True,The Chronicles of Froissart,0.5331698210279348,0.8965108322800994,Jean,m,23.27695167286245,150.20396691588007,96.65321100917431,716.4687282215302,849.0128440366973,51368.79800016834,1.5,['unknown'],['unknown'],"the chronicles of froissart / | $c: tr. by john bourchier, lord berners, ed. and reduced into one volume by g.c. macaulay ...  the chronicles of froissart",False,False,False,False,False,False,False,False,False,True
nyp.33433074970819,"Chesson, Nora","Chesson, Nora",1871-1906.,1907.0,1906.0,s,1907,    ,London;T. F. Unwin;1907.,1907,,,,,PZ3.C4256F,5636596.0,enk,8664280,1,1.0,1.0,,,"Father Felix's chronicles, | $c: by Nora Chesson; ed. by W. H. Chesson.",,True,Father Felix's chronicles,0.1113758516298928,0.7407797321672263,Nora,f,13.425,160.27562500000002,27.544615384615383,61.66339408284023,266.9230769230769,5245.954082840237,2.3,['fiction'],['fiction and juvenile belles lettres'],"father felix's chronicles, | $c: by nora chesson; ed. by w. h. chesson.  father felix's chronicles",False,False,False,False,False,False,False,False,False,True
mdp.39015039610442,"Munroe, Hector Hugh","Munroe, Hector Hugh",1870-1916.,1911.0,1911.0,s,1911,    ,London;John Lane;1911,1911,,,,,,66744367.0,enk,672346,1,1.0,1.0,,,"The chronicles of Clovis, | $c: by ""Saki"" (H. H. Munro) With an introd. by A. A. Milne.",,True,The chronicles of Clovis,0.1825099474896364,0.0186726125830544,Hector,m,10.419607843137255,16.596478277585543,26.714285714285715,40.99172642029784,238.5289575289576,4142.503987716343,2.2,['unknown'],['unknown'],"the chronicles of clovis, | $c: by ""saki"" (h. h. munro) with an introd. by a. a. milne.  the chronicles of clovis",False,False,False,False,False,False,False,False,False,True
