docid,title,parttitle,shorttitle
uc2.ark+=13960=t71v5h271,Fo'c's'le yarns,,Fo'c's'le yarns
njp.32101064793746,"Long casts and sure rises, | being a collection of angling ""Yarns"" and experiences / | $c: by Edgar S. Shrubsole.",,"Long casts and sure rises, being a collection of angling ""Yarns"" and experiences"
uc2.ark+=13960=t9x05zh39,Yule-tide yarns,,Yule-tide yarns
uc2.ark+=13960=t6c24tb5w,Soldiers' stories and sailors' yarns.,,Soldiers' stories and sailors' yarns
coo1.ark+=13960=t79s29k4g,The tiger-man of Burma and other adventure yarns / | $c: by Argyll Saxby ; ill. by T.W.R. Whitwell.,,The tiger-man of Burma and other adventure yarns
