docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match
uc1.b3331964,"Baron, Brabourne, Edward Hugessen Knatchbull-Hugessen","Baron, Brabourne, Edward Hugessen Knatchbull-Hugessen",1828-1893.,1875.0,1875.0,s,1875,    ,"London;Dalby, Isbister, & co.;1875.",1875,,,,,,4601547.0,enk,7919741,2,2.0,2.0,,,"River legends; | or, Father Thames and Father Rhine, | $c: by the Right Hon. E. H. Knatchbull-Hugessen, M.P., with illustrations by Gustave Doré.",,True,"River legends; or, Father Thames and Father Rhine",0.3109086580582105,0.0621074720109171,Edward,m,9.31153846153846,11.060636094674557,29.32319391634981,55.57995633882231,288.79467680608366,7186.224002081856,2.6,['unknown'],['unknown'],"river legends; | or, father thames and father rhine, | $c: by the right hon. e. h. knatchbull-hugessen, m.p., with illustrations by gustave doré.  river legends; or, father thames and father rhine",False,False,False,False,False,False,True
nyp.33433068188691,"Westall, William","Westall, William",1835-1903.,1877.0,1877.0,s,1877,    ,"London;Griffith and Farran; [etc., etc.;1877.",1877,,,,,,6466495.0,enk,8622386,1,1.0,1.0,,,Tales and legends of Saxony and Lusatia. | $c: By W. Westall. With illustrations by H. W. Petherick.,,True,Tales and legends of Saxony and Lusatia,0.1675197558972233,0.0853296679573912,William,m,13.638176638176638,206.9260639118189,23.674931129476583,74.27449551867284,230.4159779614325,7981.835226798412,2.4,['unknown'],['unknown'],tales and legends of saxony and lusatia. | $c: by w. westall. with illustrations by h. w. petherick.  tales and legends of saxony and lusatia,False,True,False,False,False,False,True
mdp.39015002151234,"Webster, Wentworth","Webster, Wentworth",1829-1907.,1879.0,1879.0,s,1879,    ,London;Griffith and Farran [etc.;1879.,1879,,,,,,68184120.0,enk,1880586,1,1.0,1.0,,,"Basque legends: | collected, chiefly in the Labourd, | $c: by Rev. Wentworth Webster ... With an essay on the Basque language, by M. Julien Vinson ...",,True,"Basque legends: collected, chiefly in the Labourd",0.5714527353495538,0.2169671570763536,Wentworth,unknown,20.82413793103448,55.24838287752676,35.43624161073826,88.0311697671276,394.01006711409394,8980.835469123014,2.1,['unknown'],['unknown'],"basque legends: | collected, chiefly in the labourd, | $c: by rev. wentworth webster ... with an essay on the basque language, by m. julien vinson ...  basque legends: collected, chiefly in the labourd",False,False,False,False,False,False,True
inu.39000005833293,"Croker, Thomas Crofton","Croker, Thomas Crofton",1798-1854.,1879.0,1854.0,s,1879,    ,London;W. Tegg;1879.,1879,2d ed.,,Ireland|Legends|Folklore|Killarney (Kerry),,,2050112.0,enk,6935506,1,1.0,1.0,,,"Killarney legends / | $c: edited by T. Crofton Croker; a new ed. rev. by T. Wright, with an introd. by T. F. Dillon Croker.",,True,Killarney legends,0.5927463177670904,0.4445410979417931,Thomas,m,9.990033222591364,12.800565115175328,33.12380952380953,74.45768707482992,320.44761904761907,10298.621859410432,2.8,['fiction'],['unknown'],"killarney legends / | $c: edited by t. crofton croker; a new ed. rev. by t. wright, with an introd. by t. f. dillon croker.  killarney legends",False,False,False,False,False,False,True
mdp.39015014648227,"Sir, Lauder, Thomas Dick","Lauder, Thomas Dick, Sir",1784-1848.,1880.0,1848.0,r,1880,    ,"London;Hamilton;Adams, & co., [etc., etc.;1880.",1880,,,Scotland|Legends,,,68184096.0,enk,1880522,1,2.0,2.0,,,"Highland legends, | $c: by Sir Thomas Dick Lauder ...",,False,Highland legends,0.1374977151790249,0.1570003031991335,Thomas,m,16.09560723514212,48.153649954262896,39.82142857142857,74.23341836734691,440.5025510204082,10540.285707778008,1.5,['unknown'],['unknown'],"highland legends, | $c: by sir thomas dick lauder ...  highland legends",False,False,False,False,False,False,True
nyp.33433088070192,"Middlemore, Maria Trinidad Howard Sturgis","Middlemore, Maria Trinidad Howard Sturgis",,1881.0,1881.0,s,1883,    ,London;W. Satchell and co.;1883,1883,,,Spain|Tales|Legends,,,2664368.0,enk,1880831,1,1.0,1.0,,,Round a posada fire : | Spanish legends / | $c: by Mrs. S. G. C. Middlemore ; illustrations by E. D. Hale.,,True,Round a posada fire : Spanish legends,0.6673600561301407,0.0043332415325145,Maria,f,7.395973154362416,16.44052069726589,18.1523178807947,38.14236217709749,167.71523178807948,4609.289767992632,2.3,['fiction'],['unknown'],round a posada fire : | spanish legends / | $c: by mrs. s. g. c. middlemore ; illustrations by e. d. hale.  round a posada fire : spanish legends,False,False,False,False,False,False,True
nyp.33433088071380,"Mawer, E. B","Mawer, E. B",,1881.0,1881.0,s,1881,    ,London;H.K. Lewis;1881.,1881,,,Folklore|Romania|Tales,,,937578.0,enk,7151505,1,1.0,1.0,,,Roumanian fairy tales and legends. | $c: [Tr. by E.B.M. i.e. E.B. Mawer],,True,Roumanian fairy tales and legends,0.3358197672498505,0.1034513060825585,E,unknown,9.301470588235292,12.269409602076124,22.211267605633804,58.19480261852807,215.9084507042253,7432.885984923625,1.5,['unknown'],['unknown'],roumanian fairy tales and legends. | $c: [tr. by e.b.m. i.e. e.b. mawer]  roumanian fairy tales and legends,False,True,False,False,False,False,True
wu.89060404829,"Mathews, Cornelius","Mathews, Cornelius",1817-1889.,1882.0,1882.0,s,1882,    ,London;W. S. Sonnenschein;1882,1882,,,Folklore|Indians of North America|Legends,,,3124423.0,enk,6802781,1,1.0,1.0,,,Hiawatha : | and other legends of the wigwams of the red American Indians / | $c: compiled from original sources by Cornelius Matthews.,,True,Hiawatha : and other legends of the wigwams of the red American Indians,0.132806843474132,0.9296591381712,Cornelius,m,10.845272206303726,16.21101632991519,25.87042253521127,29.4592660186471,258.8197183098591,3860.119611188256,2.2,['unknown'],['unknown'],hiawatha : | and other legends of the wigwams of the red american indians / | $c: compiled from original sources by cornelius matthews.  hiawatha : and other legends of the wigwams of the red american indians,False,False,False,False,False,False,True
uc2.ark+=13960=t4th8cv9n,,,,1889.0,1889.0,s,1889,    ,London;W. W. Gibbings;1889.,1889,,,Germany|Tales,,GR166.F62,15865585.0,enk,1286994,1,1.0,1.0,v.1,1.0,Folk-lore and legends: Germany,,True,Folk-lore and legends: Germany,0.3464385400260467,0.6609466644695053,,unknown,11.306122448979592,19.926697209496044,31.28140703517588,61.19719199010126,247.929648241206,4808.94982449938,1.7,['fiction'],['unknown'],folk-lore and legends: germany  folk-lore and legends: germany,False,False,False,False,False,False,True
uc2.ark+=13960=t1kh0hv79,,,,1889.0,1889.0,s,1889,    ,London;W.W. Gibbings;1889.,1889,,,Folklore|Scotland,,,19786082.0,enk,6522965,2,2.0,2.0,,,Folk-lore and legends;,,True,Folk-lore and legends;,0.7726773196784383,0.5663352922688849,,unknown,7.636363636363637,8.696051423324151,30.29064039408867,116.7578926933437,254.42364532019704,6039.426435972725,1.4,['unknown'],['unknown'],folk-lore and legends;  folk-lore and legends;,False,False,False,False,False,False,True
