docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match,recollections_match
wu.89075295477,"Taffetas, Hester","Taffetas, Hester",,1858.0,1858.0,s,1858,    ,London;Knight;1858,1858,2nd ed.,,"Great Britain|Millinery workers|England|History|George III, 1760-1820|Royal households",Great Britain,,37345130.0,enk,5820777,1,1.0,1.0,,,Recollections of Mrs. Hester Taffetas : | court milliner and modiste during the reign of King George the Third and his consort Queen Charlotte / | $c: edited by her granddaughter.,,True,Recollections of Mrs. Hester Taffetas : court milliner and modiste during the reign of King George the Third and his consort Queen Charlotte,0.1300397519514894,0.0426599352703133,Hester,f,10.227180527383368,15.603561421770918,30.89516129032258,34.56158949011447,287.8165322580645,3920.786904103798,1.4,['unknown'],['unknown'],recollections of mrs. hester taffetas : | court milliner and modiste during the reign of king george the third and his consort queen charlotte / | $c: edited by her granddaughter.  recollections of mrs. hester taffetas : court milliner and modiste during the reign of king george the third and his consort queen charlotte,False,False,False,False,False,False,False,False,False,False,True
njp.32101073397513,,,,1858.0,1858.0,s,1858,    ,London;Knight;1858,1858,,,,,,13272984.0,enk,9015075,1,1.0,1.0,,,"Recollections of Mrs. Hester Taffetas, court milliner and modiste during the reign of King George the Third and his consort Queen Charlotte. | $c: Edited by her grandaughter.",,True,"Recollections of Mrs. Hester Taffetas, court milliner and modiste during the reign of King George the Third and his consort Queen Charlotte",0.10385868743508,0.0156994890634435,,unknown,10.590759075907592,20.14275288915029,28.06514657980456,36.77100022281404,263.5732899022801,4350.817918492504,1.4,['unknown'],['unknown'],"recollections of mrs. hester taffetas, court milliner and modiste during the reign of king george the third and his consort queen charlotte. | $c: edited by her grandaughter.  recollections of mrs. hester taffetas, court milliner and modiste during the reign of king george the third and his consort queen charlotte",False,False,False,False,False,False,False,False,False,False,True
uc1.b3370385,"Berkeley, Grantley F. (Grantley Fitzhardinge)","Berkeley, Grantley F. (Grantley Fitzhardinge)",1800-1881.,1865.0,1865.0,m,1865,1866,London;Hurst and Blackett;1865-66.,1865-1866,,,,,,,enk,10054547,1,2.0,2.0,v.1,1.0,My life and recollections.,,True,My life and recollections,0.5794917692839805,0.0734103832178186,Grantley,unknown,9.926208651399492,9.589974684199964,31.808564231738035,26.376450583405777,310.87405541561714,3166.875825619095,1.7,['unknown'],['unknown'],my life and recollections.  my life and recollections,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t9t14wd92,"Hemyng, Bracebridge","Hemyng, Bracebridge",1841-1901.,1870.0,1870.0,s,1870,    ,"London;Ward, Lock, and Tyler;1870?",1870,,,,,,11106549.0,enk,7662049,1,1.0,1.0,,,"Eton school days, or, Recollections of an Etonian",,True,"Eton school days, or, Recollections of an Etonian",0.3046221952315514,0.2673583739414152,Bracebridge,unknown,13.349056603773583,20.271241248368344,31.773993808049536,43.01084070584401,254.625386996904,2867.8070335189645,4.0,['fiction'],['unknown'],"eton school days, or, recollections of an etonian  eton school days, or, recollections of an etonian",False,False,False,False,False,False,False,False,False,False,True
nyp.33433008440715,"Boteler, John Harvey","Boteler, John Harvey",,1883.0,1883.0,s,1883,    ,London;Diprose and Bateman;1883.,1883,,,Great Britain|1808-30|History|Royal Navy,,,38479585.0,enk,8592489,1,1.0,1.0,,,Recollections of my sea life ... from 1808 to 1830.,,True,Recollections of my sea life ... from 1808 to 1830,0.8957930223053616,0.118882137283432,John,m,18.291666666666668,22.911142676767675,39.14393939393939,19.403523875114782,537.4128787878788,4329.522712924701,3.1,['unknown'],['unknown'],recollections of my sea life ... from 1808 to 1830.  recollections of my sea life ... from 1808 to 1830,False,False,False,False,False,False,False,False,False,False,True
mdp.39015063947926,"Payn, James","Payn, James",1830-1898.,1884.0,1884.0,s,1884,    ,"London;Smith, Elder, & co.;1884.",1884,,,"Correspondence, reminiscences, etc|Authors, English",,,485332.0,enk,246880,1,2.0,2.0,,,Some literary recollections.,,True,Some literary recollections,0.8128063534825746,0.0028743263086996,James,m,9.453237410071942,9.26939599399617,26.07801418439716,17.355615914692418,252.4184397163121,2227.044766359841,2.7,['unknown'],['unknown'],some literary recollections.  some literary recollections,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t0js9zf5x,"Service, John","Service, John",,1887.0,1887.0,s,1887,    ,Edinburgh;Y. J. Pentland;1887.,1887,,,,,,6404111.0,stk,7703334,1,1.0,1.0,,,The life and recollections of Doctor Duguid of Kilwinning,,True,The life and recollections of Doctor Duguid of Kilwinning,0.1248996935393652,0.0049175887091941,John,m,8.353535353535353,17.380063258851138,27.960264900662253,84.938818472874,211.0,5408.390728476821,2.2,['fiction'],['unknown'],the life and recollections of doctor duguid of kilwinning  the life and recollections of doctor duguid of kilwinning,False,False,False,False,False,False,False,False,False,False,True
mdp.39015064796819,,,,1891.0,1857.0,r,1891,1857,York;Printed for the author's friends;1857.,1857,,,Flagellation,,PR4099.B95M4 1891 (Rare Bk Coll),39053814.0,enk,1693788,1,1.0,1.0,,,"The merry order of St. Bridget; | personal recollections of the use of the rod, | $c: by Margaret Anson.",,False,The merry order of St. Bridget; personal recollections of the use of the rod,0.1036689395376131,0.1582229773277696,,unknown,9.030172413793103,5.830986177170035,20.948936170212765,15.384626527840652,220.18297872340423,2638.0814124038025,1.9,['unknown'],['english literature'],"the merry order of st. bridget; | personal recollections of the use of the rod, | $c: by margaret anson.  the merry order of st. bridget; personal recollections of the use of the rod",False,False,False,False,False,False,False,False,False,False,True
yale.39002030860077,"North, Marianne","North, Marianne",1830-1890.,1892.0,1890.0,s,1892,    ,London;New York;Macmillan;1892.,1892,2d ed.,,"1830-1890|North, Marianne|Voyages and travels",,,2610533.0,enk,8732174,1,3.333333333333333,3.333333333333333,v.1,1.0,"Recollections of a happy life : | being the autobiography of Marianne North / | $c: edited by her sister, Mrs. John Addington Symonds.",,True,Recollections of a happy life : being the autobiography of Marianne North,0.9653012498814536,0.202649113654936,Marianne,f,13.112947658402204,11.620851641888455,34.260162601626014,39.67757287328971,401.0,7918.20054200542,1.7,['unknown'],['unknown'],"recollections of a happy life : | being the autobiography of marianne north / | $c: edited by her sister, mrs. john addington symonds.  recollections of a happy life : being the autobiography of marianne north",False,False,False,False,False,False,False,False,False,False,True
uc1.$b80603,"Legouv??, Ernest","Legouvé, Ernest",,1893.0,1893.0,s,1893,    ,"London;Sydney;Eden, Remington & Co.;1893.",1893,,,,,,9814356.0,enk,6589405,1,3.0,3.0,v.1,1.0,Sixty years of recollections,,True,Sixty years of recollections,0.5099675693640967,0.0187996295056552,Ernest,m,13.804804804804805,43.56249943637332,28.194690265486727,19.69070926984624,289.6371681415929,3055.411125903881,2.3,['unknown'],['unknown'],sixty years of recollections  sixty years of recollections,False,False,False,False,False,False,False,False,False,False,True
mdp.39015033552541,"Bathgate, Janet","Bathgate, Janet",,1894.0,1894.0,s,1894,    ,Selkirk;G. Lewis;1894.,1894,[2d ed.],,Social life and customs,Scotland,,65849110.0,stk,155262,1,1.0,1.0,,,Aunt Janet's legacy to her nieces; | recollections of humble life in Yarrow in the beginning of the century.,,True,Aunt Janet's legacy to her nieces; recollections of humble life in Yarrow in the beginning of the century,0.2871787262855523,0.0881289282485271,Janet,f,11.193236714975846,12.919181311115778,28.17511520737327,69.29652360423879,287.5115207373272,9938.148484784131,0.9,['unknown'],['unknown'],aunt janet's legacy to her nieces; | recollections of humble life in yarrow in the beginning of the century.  aunt janet's legacy to her nieces; recollections of humble life in yarrow in the beginning of the century,False,False,False,False,False,False,False,False,False,False,True
njp.32101063870081,"Marshall, Emma","Marshall, Emma, Mrs",1830-1899.,1894.0,1894.0,s,1894,    ,"London;Seeley and Co., Limited;1894.",1894,,,"1593-1633|Herbert, George",,,16530364.0,enk,9041107,1,1.0,1.0,,,"Under Salisbury spire, in the days of George Herbert; | the recollections of Magdalene Wydville, | $c: by Emma Marshall ...",,True,"Under Salisbury spire, in the days of George Herbert; the recollections of Magdalene Wydville",0.2705480251011869,0.4092612391919092,Emma,f,13.113960113960117,32.27761138302449,29.070821529745043,20.47373785200105,295.61756373937675,3184.7120994470706,3.7,['fiction'],['unknown'],"under salisbury spire, in the days of george herbert; | the recollections of magdalene wydville, | $c: by emma marshall ...  under salisbury spire, in the days of george herbert; the recollections of magdalene wydville",False,False,False,False,False,False,False,False,False,False,True
ncs1.ark+=13960=t03x8kf5b,"Custance, Henry","Custance, Henry",,1894.0,1894.0,s,1894,    ,London;Edward Arnold;1894.,1894,,,Horse racing|Great Britain,,,19961291.0,enk,10668962,1,1.0,1.0,1894,,Riding recollections and turf stories,,True,Riding recollections and turf stories,0.8791884728095015,0.7438278973255446,Henry,m,10.157232704402515,12.358925675408408,29.175925925925927,37.558556241426615,260.50308641975306,3965.2993731900624,1.7,['unknown'],['unknown'],riding recollections and turf stories  riding recollections and turf stories,True,False,False,False,False,False,False,False,False,False,True
njp.32101064794264,"Walbran, Francis M","Walbran, Francis M",,1895.0,1895.0,s,1895,    ,"Scarborough [Eng.;""The Angler"" Co., Ltd.;1895.",1895,,,Grayling fishing,,,19037708.0,enk,8921810,1,1.0,1.0,,,"Grayling and how to catch them, | and recollections of a sportsman.",,True,"Grayling and how to catch them, and recollections of a sportsman",0.9669012736283727,0.8472781494548315,Francis,m,9.846666666666666,25.07648888888889,24.529411764705884,69.6478277585544,252.88888888888889,8781.523602033405,1.9,['unknown'],['unknown'],"grayling and how to catch them, | and recollections of a sportsman.  grayling and how to catch them, and recollections of a sportsman",False,False,False,False,False,False,False,False,False,False,True
uc1.b3039194,"Whyte-Melville, G. J. (George John)","Whyte-Melville, G. J. (George John)",1821-1878.,1898.0,1878.0,m,1898,1902,"London;W. Thacker;Calcutta;Thacker, Spink;1898-1902.",1898-1902,[v.1] Cerise.--[v.2] General Bounce.--[v.3] Good for nothing.--[v.4] Holmby house.--[v.5] The interpreter.--[v.6] Kate Coventry.--[v.7] Riding recollections.--[v.8] Sarachedon.--[v.9] Sister Louise. Rosine.,,,,,3967109.0,enk,7313579,1,1.0,1.0,v.7,7.0,The works of G.J. Whyte-Melville / | $c: edited by Sir Herbert Maxwell.,Riding recollections,True,Riding recollections,0.4913605007532232,0.0070833714957109,George,m,9.479418886198546,16.69509699886849,33.0354609929078,68.92309239977868,350.5744680851064,9047.407575071677,1.4,['unknown'],['unknown'],the works of g.j. whyte-melville / | $c: edited by sir herbert maxwell. riding recollections riding recollections,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t8hd7rf9q,"Ganthony, Robert","Ganthony, Robert",,1899.0,1899.0,s,1899,    ,London;H. J. Drane;1899,1899,,,"Ganthony, Robert",,CT788.G25A3,26532609.0,enk,1692573,2,2.0,2.0,,,Random recollections,,True,Random recollections,0.7493959315016904,0.2177784988152167,Robert,m,12.930769230769233,22.749053254437868,40.12452830188679,65.60336062655749,335.25283018867924,7594.151171235315,2.6,['unknown'],['unknown'],random recollections  random recollections,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey","Cardigan and Lancastre, Adeline Louis Maria de Horsey",,1909.0,1909.0,s,1909,    ,London;E. Nash;1909.,1909,,,Court and courtiers|Great Britain,,DA565.C3A3,1209177.0,enk,5798091,2,2.0,2.0,,,My recollections,,True,My recollections,0.5957147478897421,0.2198798515631432,Adeline,f,6.626262626262626,7.708805223956738,25.25242718446602,62.615892167028,173.56796116504853,3910.022080309172,2.0,['unknown'],['great britain'],my recollections  my recollections,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t3fx7fk0m,"Faber, M. A","Faber, M. A",,1910.0,1910.0,s,1910,    ,London;Chiswick Press;1910.,1910,,,Description and travel|India,,,13319510.0,enk,7698528,1,1.0,1.0,,,Recollections of Indian life,,True,Recollections of Indian life,0.981344931291268,0.978015688061019,M,unknown,11.824324324324325,7.33400292184076,34.27160493827161,119.5311690291114,285.962962962963,8955.739368998627,2.7,['unknown'],['unknown'],recollections of indian life  recollections of indian life,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t4vh5hq9p,L??onard,L??onard,,1912.0,1912.0,s,1912,    ,"London;Greening and Co., Ltd.;1912.",1912,,,"France|1755-1793|Queen, consort of Louis XVI, King of France|Marie Antoinette|Court and courtiers",,,18692899.0,enk,6546773,1,1.0,1.0,,,"Recollections of L??onard, hairdresser to Queen Marie-Antoinette",,True,"Recollections of L??onard, hairdresser to Queen Marie-Antoinette",0.5329882587819758,0.1564688312514478,Lonard,unknown,8.152439024390244,10.20846966091612,30.05044510385757,47.074606626808375,221.1810089020772,2921.281775836716,2.8,['unknown'],['unknown'],"recollections of l??onard, hairdresser to queen marie-antoinette  recollections of l??onard, hairdresser to queen marie-antoinette",False,False,False,False,False,False,False,False,False,False,True
