docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match
mdp.39015063976552,"Ewing, Juliana Horatia Gatty","Ewing, Juliana Horatia Gatty",1841-1885.,1886.0,1885.0,s,1886,    ,London;G. Bell and sons;1886.,1886,"New ed.|The brownies.--The land of lost toys.--Three Christmas trees.--An idyll of the wood.--Christmas crackers.--Amelia, and the dwarfs.--Timothy's shoes.--Benjy in Beastland.",,Children's stories,,,66777894.0,enk,560666,1,3.0,3.0,,,The Brownies & other tales: | $c: by Juliana Horatia Ewing; illustrations by George Cruikshank.,,True,The Brownies & other tales:,0.0894113738184758,0.8873497426286269,Juliana,f,35.25217391304348,203.94510396975423,81.25,649.0708333333333,684.5166666666667,50128.39972222222,1.7,['fiction'],['unknown'],the brownies & other tales: | $c: by juliana horatia ewing; illustrations by george cruikshank.  the brownies & other tales:,False,True
uc1.$b281892,"R??m??svami R??ju, P. V","R??m??svami R??ju, P. V",,1886.0,1886.0,s,1886,    ,"London;New York [etc.;Cassell & company, limited;1886",1886,,,,,,5585211.0,enk,6522779,1,1.0,1.0,,,The tales of the sixty mandarins,,True,The tales of the sixty mandarins,0.3382657585471398,0.6825500963892782,P,unknown,13.15916955017301,18.77051280516277,30.60869565217392,105.9171150210848,318.5953177257525,9589.438238945871,1.7,['unknown'],['unknown'],the tales of the sixty mandarins  the tales of the sixty mandarins,False,True
uc2.ark+=13960=t0000492f,"Eiffe, John P","Eiffe, John P",,1886.0,1886.0,s,1886,    ,Liverpool;Mackie;1886.,1886,,,,,,13347888.0,enk,7687618,1,1.0,1.0,,,The tales of old Liverpool,,True,The tales of old Liverpool,0.3610345212127169,0.0012997347680734,John,m,15.095505617977528,19.131328115136977,51.83977900552486,73.1511248130399,395.5359116022099,6529.000091572296,2.3,['fiction'],['unknown'],the tales of old liverpool  the tales of old liverpool,False,True
nyp.33433074909635,,,,1886.0,1886.0,s,1886,    ,London;Vizetelly;1886.,1886,,,19th century|English fiction,,,13178754.0,enk,8663546,1,1.0,1.0,,,"No rose without a thorn and other tales, | $c: by F.C. Burnand [and others] With illus. by Linley Sambourne [and others]",,True,No rose without a thorn and other tales,0.0883083433751243,0.096734553770179,,unknown,17.666666666666668,38.97509578544062,29.237057220708447,64.38794556348329,327.59128065395095,12283.195346316328,1.2,['fiction'],['unknown'],"no rose without a thorn and other tales, | $c: by f.c. burnand [and others] with illus. by linley sambourne [and others]  no rose without a thorn and other tales",False,True
nyp.33433074857453,"Gaskell, Elizabeth Cleghorn","Gaskell, Elizabeth Cleghorn",1810-1865.,1886.0,1865.0,s,1886,    ,"London;Smith, Elder, & Co.;1886;(London;Printed by Spottiswoode and Co.)",1886,A new ed. with four ill.|Cranford -- Company manners -- The well of Pen-Morfa -- The heart  of John Middleton -- Traits and stories of the Huguenots -- Six weeks at Heppenheim -- The squire's story -- Libbie Marsh's three eras -- Curious if true -- The moorland cottage -- The sexton's hero -- Disappearances -- Right at last -- The Manchester marriage -- Lois the witch -- The crooked branch.,,English fiction,,,33825641.0,enk,8665294,1,6.0,4.0,v. 4,4.0,Cranford and other tales / | $c: by Mrs. Gaskell.,,True,Cranford and other tales,0.1566562638243547,0.0636845348662506,Elizabeth,f,24.87903225806452,85.85230228928198,47.29423459244533,80.50587133264034,631.2504970178926,17297.169855617787,1.7,['fiction'],['unknown'],cranford and other tales / | $c: by mrs. gaskell.  cranford and other tales,False,True
uc2.ark+=13960=t6639m133,"Ramaswami Raju, P. V","Ramaswami Raju, P. V",,1886.0,1886.0,s,1886,    ,"London;Paris;New York;Melbourne;Cassell & Company, Limited;ca. 1886",1886,,,India|Fairy tales|China,,,33364922.0,enk,8694359,2,2.0,2.0,,,The tales of the sixty mandarins,,True,The tales of the sixty mandarins,0.3161561417685425,0.8282865590321726,P,unknown,14.075,19.940803571428567,39.1764705882353,81.13494809688581,322.24913494809687,7904.228589217082,3.5,['unknown'],['unknown'],the tales of the sixty mandarins  the tales of the sixty mandarins,False,True
uiuo.ark+=13960=t5x643n97,"Poynter, E. Frances","Poynter, E. Frances (Eleanor Frances)",,1886.0,1886.0,s,1886,    ,London;Hurst and Blackett;1886.,1886,,,,,,13385486.0,enk,8724357,1,1.0,1.0,v.1,1.0,"The wooing of Catherine, and other tales",,True,"The wooing of Catherine, and other tales",0.1214000032752754,0.0648934606898763,Eleanor,f,7.63103448275862,9.798347205707492,23.9728813559322,19.3890950876185,177.92203389830507,1568.6007009480034,2.4,['fiction'],['unknown'],"the wooing of catherine, and other tales  the wooing of catherine, and other tales",False,True
njp.32101067630523,"Brierley, Benjamin","Brierley, Benjamin",1825-1896.,1886.0,1886.0,s,1886,    ,Manchester;A. Heywood & son;1886.,1886,,,,,,34611097.0,enk,8961260,1,1.0,1.0,,,Tales and sketches of Lancashire life / | $c: Ben Brierley.,,True,Tales and sketches of Lancashire life,0.1376866292847751,0.011170716447537,Benjamin,m,15.52127659574468,31.3417458880338,29.573943661971832,13.336081630628843,331.46830985915494,3010.389840805396,2.5,['unknown'],['unknown'],tales and sketches of lancashire life / | $c: ben brierley.  tales and sketches of lancashire life,False,True
njp.32101064140302,"Edler, Karl Erdmann","Edler, Karl Erdmann",1844-1931.,1886.0,1886.0,s,1886,    ,London;R. Bentley;1886,1886,v. 1. Paldine.--v. 2. Notre Dame des Flots. A journey to the Grossglockner Mountain,,,,,14033612.0,enk,9041142,1,2.0,2.0,v. 1,1.0,Baldine and other tales | $c: by Karl Erdmann Edler ; translated from the German by the Earl of Lytton,Paldine,True,Paldine,0.299931395876219,0.0719230340295096,Karl,m,7.51063829787234,7.459613270387376,19.82121212121212,4.025610651974287,148.53939393939393,377.3454178145087,2.8,['unknown'],['unknown'],baldine and other tales | $c: by karl erdmann edler ; translated from the german by the earl of lytton paldine paldine,False,True
njp.32101064140294,"Edler, Karl Erdmann","Edler, Karl Erdmann",1844-1931.,1886.0,1886.0,s,1886,    ,London;R. Bentley;1886,1886,v. 1. Paldine.--v. 2. Notre Dame des Flots. A journey to the Grossglockner Mountain,,,,,14033612.0,enk,9041142,1,1.0,1.0,v. 2,2.0,Baldine and other tales | $c: by Karl Erdmann Edler ; translated from the German by the Earl of Lytton,Notre Dame des Flots. A journey to the Grossglockner Mountain,True,Notre Dame des Flots. A journey to the Grossglockner Mountain,0.1037081418338382,0.0370268605592304,Karl,m,6.581314878892734,5.793560900851283,19.512027491408936,6.5110237243301325,149.63917525773195,566.0381903850923,1.5,['unknown'],['unknown'],baldine and other tales | $c: by karl erdmann edler ; translated from the german by the earl of lytton notre dame des flots. a journey to the grossglockner mountain notre dame des flots. a journey to the grossglockner mountain,False,True
inu.30000042783591,,,,1887.0,1887.0,s,1887,    ,London;G. Redway;1887?,1887,,,"Ghost stories, English",,,3302677.0,enk,6056230,1,1.0,1.0,v.3,3.0,"Dreamland and ghostland : | an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay.",,True,"Dreamland and ghostland : an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay",0.0907159436581761,0.0197827648460544,,unknown,12.305732484076431,24.804616820154976,26.07232704402516,26.922441754677426,262.10377358490564,3915.0489794707487,2.9,['unknown'],['unknown'],"dreamland and ghostland : | an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay.  dreamland and ghostland : an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay",True,True
