docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match
nyp.33433074918859,"Adams, John","Adams, John",1750?-1814.,1791.0,1791.0,s,1791,    ,London;G. Kearsley;1791.,1791,,,English fiction,,,37208625.0,enk,8667228,1,1.0,1.0,,,"Elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of Woman; or, Historical sketches of the fair sex ...",,True,"Elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects",0.373850361843535,0.1190609898621482,John,m,10.46530612244898,21.746755518533945,29.726166328600407,17.902702747182666,268.7870182555781,2116.114882184251,2.3,['fiction'],['unknown'],"elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of woman; or, historical sketches of the fair sex ...  elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects",False,True
uc2.ark+=13960=t9t14wb76,,,,1792.0,1792.0,s,1792,    ,Edinburgh;Printed for G. Mudie [etc.] 1792.,1792,,,,,,4734602.0,enk,7685342,1,1.0,1.0,v.2,2.0,Arabian tales;,,True,Arabian tales;,0.3275285661046669,0.4846030146598697,,unknown,11.2375296912114,12.41863902821582,33.95764705882353,16.214676816608996,262.6635294117647,1303.2585522491352,1.8,['fiction'],['unknown'],arabian tales;  arabian tales;,False,True
njp.32101048392763,,,,1792.0,1792.0,s,1792,    ,Edinburgh;G. Mudie;1792.,1792,,,,,,4429493.0,stk,8896436,1,1.0,1.0,v.1,1.0,"Arabian tales : | being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories / | $c: tr. from the  Arabian manuscript into French, by Chavis and Cazotte, and now tr. into English from the last French edition.",,True,"Arabian tales : being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories",0.2025917691489518,0.0596755003078886,,unknown,11.065104166666666,9.665032280815971,29.668367346938776,25.6247136609746,258.40561224489795,2756.690070543524,1.3,['unknown'],['unknown'],"arabian tales : | being a continuation of the arabian nights entertainments, consisting of one thousand and one stories / | $c: tr. from the  arabian manuscript into french, by chavis and cazotte, and now tr. into english from the last french edition.  arabian tales : being a continuation of the arabian nights entertainments, consisting of one thousand and one stories",True,True
nnc1.1002330652,"Moser, Joseph","Moser, Joseph",1748-1819.,1794.0,1794.0,s,1794,    ,London;1794.,1794,,,,,,35122360.0,enk,8405386,1,1.0,1.0,v.1,1.0,Turkish tales.,,True,Turkish tales,0.2629399340547395,0.4167461828583683,Joseph,m,4.568627450980392,8.549211841599385,17.31132075471698,10.167230331078676,109.16509433962264,720.9491589533641,1.6,['unknown'],['unknown'],turkish tales.  turkish tales,False,True
njp.32101068989910,"comtesse de, Genlis, Stéphanie Félicité","comtesse de, Genlis, Stéphanie Félicité",1746-1830.,1798.0,1798.0,s,1798,    ,London;G. G. and J. Robinson;1798.,1798,The 5th ed. ...,,,,,7100610.0,enk,8976867,1,1.0,1.0,v.5,5.0,"Tales of the castle: | or, Stories of instruction and delight. Being Les veillees du chateau, | $c: written in French by Madame la comtesse de Genlis ... Translated into English by Thomas Holcroft ...",th ed,True,th ed,0.2916506617251484,0.1679188187999093,Stphanie,unknown,13.140684410646388,33.01823071028929,26.415162454873645,40.87096143570228,250.49097472924188,5574.647030457845,0.3,['unknown'],['unknown'],"tales of the castle: | or, stories of instruction and delight. being les veillees du chateau, | $c: written in french by madame la comtesse de genlis ... translated into english by thomas holcroft ... th ed th ed",True,True
uc2.ark+=13960=t1ng4kw2z,"Lee, Harriet","Lee, Harriet",1757-1851.,1799.0,1799.0,m,1799,1805,London;Printed for G.G. and J. Robinson;1799-1805.,1799-1805,,,"Lee, Sophia|joint author|1750-1824",,,14341800.0,enk,7689889,1,4.0,2.0,v.1,1.0,Canterbury tales,,True,Canterbury tales,0.1825630390579398,0.2364751582582172,Harriet,f,7.812351543942992,10.789016085442986,25.0354609929078,8.053116040440623,183.48463356974,1243.7013005158472,1.6,['unknown'],['unknown'],canterbury tales  canterbury tales,False,True
uc2.ark+=13960=t6f19705j,,,,1800.0,1800.0, ,1800,    ,Edinburgh;Oliver & Boyd;18??_?_,"<estimate=""[18????_???_]"">",,,,,,315363000.0,stk,7703319,1,1.0,1.0,,,Select comic tales from the best authors,,True,Select comic tales from the best authors,0.2198190540960908,0.0609122636164412,,unknown,8.185185185185185,10.789780521262005,32.74324324324324,33.172814706598494,266.8783783783784,3130.268991964938,1.5,['unknown'],['unknown'],select comic tales from the best authors  select comic tales from the best authors,False,True
ucm.5320307018,,,,1800.0,1800.0,s,1800,    ,Shrewsbury;printed by J. and W. Eddowes...;1800.,1800,,,,,,,enk,9341787,1,1.0,1.0,,,"Tales, anecdotes, and letters / | $c: translated from the arabic and persian by Jonathan Scott.",,True,"Tales, anecdotes, and letters",0.8259872284425493,0.0459575428200733,,unknown,7.052631578947368,9.541852342526798,21.948888888888888,47.88405432098766,168.48666666666668,4410.152044444444,0.4,['fiction'],['unknown'],"tales, anecdotes, and letters / | $c: translated from the arabic and persian by jonathan scott.  tales, anecdotes, and letters",False,True
uc2.ark+=13960=t6pz5d01n,,,,1801.0,1801.0,s,1801,    ,London;J. Debrett;1801.,1801,,,,,,35363834.0,enk,7704299,1,1.0,1.0,,,"Tuti-namah. The Tooti nameh, or Tales of a parrot",,True,"Tuti-namah. The Tooti nameh, or Tales of a parrot",0.911727372902712,0.0570330048076463,,unknown,8.847953216374268,14.690332067986732,18.66767371601209,111.3397102983726,124.58610271903324,10804.780350672228,2.9,['unknown'],['unknown'],"tuti-namah. the tooti nameh, or tales of a parrot  tuti-namah. the tooti nameh, or tales of a parrot",False,True
njp.32101076417573,,,,1801.0,1801.0,s,1801,    ,London;J. Debrett;1801.,1801,,,,,,6095033.0,enk,9031907,1,1.0,1.0,,,"The Bakhtyar nameh; | or, Story of Prince Bakhtyar and the ten viziers; | $c: a series of  Persian tales from a manuscript in the collection of Sir William Ouseley.",,True,"The Bakhtyar nameh; or, Story of Prince Bakhtyar and the ten viziers;",0.7164934835399541,0.8330679962862649,,unknown,6.379032258064516,3.2998829344432883,23.53488372093023,32.07824049035516,203.65891472868216,3781.821645333814,1.7,['unknown'],['unknown'],"the bakhtyar nameh; | or, story of prince bakhtyar and the ten viziers; | $c: a series of  persian tales from a manuscript in the collection of sir william ouseley.  the bakhtyar nameh; or, story of prince bakhtyar and the ten viziers;",False,True
hvd.hxj9j6,,,,1801.0,1801.0,s,1801,    ,London;J. Debrett;1801.,1801,,,,,,34730038.0,enk,9031908,1,1.0,1.0,,,"Tūtī-namāh. | The Tooti nameh, or Tales of a parrot: in the Persian language, with and English translation.",,True,"Tūtī-namāh. The Tooti nameh, or Tales of a parrot: in the Persian language, with and English translation",0.8617620261216657,0.0797158768255096,,unknown,6.105263157894737,7.988919667590027,19.24702380952381,56.61457447562358,160.88392857142858,3283.638313137755,0.8,['unknown'],['unknown'],"tūtī-namāh. | the tooti nameh, or tales of a parrot: in the persian language, with and english translation.  tūtī-namāh. the tooti nameh, or tales of a parrot: in the persian language, with and english translation",False,True
nyp.33433051569915,"Karamzin, Nikolaĭ Mikhaĭlovich","Karamzin, Nikolaĭ Mikhaĭlovich",1766-1826.,1803.0,1803.0,s,1803,    ,London;Printed by G. Sidney;1803.,1803,Lisa -- Flor Silin -- Natalia -- Julia.,,,,,,enk,8614719,1,1.0,1.0,,,Russian tales / | $c: by Nicolai Karamsin ; translated into English by John Battersby Elrington.,,True,Russian tales,0.0807815522823972,0.1474152485215085,Nikola,m,6.2204724409448815,5.124620249240498,18.223048327137548,20.091513384281587,130.33828996282529,1459.026823841572,0.8,['fiction'],['unknown'],russian tales / | $c: by nicolai karamsin ; translated into english by john battersby elrington.  russian tales,False,True
uiuo.ark+=13960=t1pg2cj2j,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1804.0,1804.0,s,1804,    ,"London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.",1804,,,"Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life",,,11287183.0,enk,8722402,1,9.0,3.0,v.1,1.0,Popular tales,,True,Popular tales,0.0,1.0,Maria,f,7.101036269430052,7.194454884694891,27.705426356589147,14.057929210984918,201.9328165374677,1282.1815328939902,1.9,"['fiction', 'urn:uuid:b2a1bf21-3130-4e4e-8046-bb12d7501201']",['unknown'],popular tales  popular tales,False,True
uiuo.ark+=13960=t8rb7p983,"Opie, Amelia Alderson","Opie, Amelia Alderson",1769-1853.,1806.0,1806.0,s,1806,    ,"London;Printed for Longman, Hurst, Rees, and Orme;1806.",1806,,,,,,3578734.0,enk,324304,2,2.0,2.0,v.1,1.0,Simple tales,The black velvet pelisse.  The death-bed.  The fashionable wife and the unfashionable husband.  The robber,True,The black velvet pelisse.  The death-bed.  The fashionable wife and the unfashionable husband.  The robber,0.0863961479365196,0.0137341311724366,Amelia,f,6.359550561797753,8.353869460926651,26.7292817679558,16.258203351546047,183.121546961326,1085.2559445682368,1.5,['unknown'],['unknown'],simple tales the black velvet pelisse.  the death-bed.  the fashionable wife and the unfashionable husband.  the robber the black velvet pelisse.  the death-bed.  the fashionable wife and the unfashionable husband.  the robber,False,True
mdp.39015063608346,"Opie, Amelia Alderson","Opie, Amelia Alderson",1769-1853.,1806.0,1806.0,s,1806,    ,"London;Printed for Longman, Hurst, Rees, and Orme;1806.",1806,v. 1. The black velvet pelisse.  The death-bed.  The fashionable wife and the unfashionable husband.  The robber.--v. 2  The mother and son.  Love and duty.--v. 3  The soldier's return.  The brother and sister.  The revenge.--v. 4  The uncle and nephew.  Murder will out.  The orphan.,,,,,3578734.0,enk,324304,2,2.0,2.0,v.2,2.0,Simple tales. | $c: By Mrs. Opie.,The mother and son.  Love and duty,True,The mother and son.  Love and duty,0.1221606553537804,0.0895704631083186,Amelia,f,5.435643564356436,4.806914354801817,23.26143790849673,13.585244991242686,177.58496732026143,671.3146759793242,1.8,['unknown'],['unknown'],simple tales. | $c: by mrs. opie. the mother and son.  love and duty the mother and son.  love and duty,False,True
uiuo.ark+=13960=t96692w8z,"Opie, Amelia Alderson","Opie, Amelia Alderson",1769-1853.,1806.0,1806.0,s,1806,    ,"London;Printed for Longman, Hurst, Rees, and Orme;1806.",1806,,,,,,3578734.0,enk,324304,2,2.0,2.0,v.3,3.0,Simple tales,The soldier's return.  The brother and sister.  The revenge,True,The soldier's return.  The brother and sister.  The revenge,0.0,0.0,Amelia,f,6.617283950617284,8.112787684804145,26.83128834355828,16.164787910723025,188.1871165644172,822.7778708269035,1.8,['unknown'],['unknown'],simple tales the soldier's return.  the brother and sister.  the revenge the soldier's return.  the brother and sister.  the revenge,False,True
uiuo.ark+=13960=t2w38cp5d,"Opie, Amelia Alderson","Opie, Amelia Alderson",1769-1853.,1806.0,1806.0,s,1806,    ,"London;Printed for Longman, Hurst, Rees, and Orme;1806.",1806,,,,,,3578734.0,enk,324304,2,2.0,2.0,v.4,4.0,Simple tales,The uncle and nephew.  Murder will out.  The orphan,True,The uncle and nephew.  Murder will out.  The orphan,0.1605043913464896,0.0147452995050469,Amelia,f,5.880281690140845,6.19693513191827,26.04810996563574,18.99424900508969,182.07903780068727,1202.4920348130042,1.0,['unknown'],['unknown'],simple tales the uncle and nephew.  murder will out.  the orphan the uncle and nephew.  murder will out.  the orphan,False,True
njp.32101030687592,,,,1806.0,1806.0,s,1806,    ,"London;Printed and published by and for John Hunt & Carew Reynell, in Brydges Street, Strand;1806.",1806,v.l Mackenzie - Goldsmith - Brooke - v. 2 Voltaire - v. 3 Johnson - Marmontel - v. 4 Marmontel - Hawkesworth - v. 5 Hawkesworth - Sterne.,,,,,8876942.0,enk,8887693,1,1.0,1.0,v.1,1.0,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],,True,Classic tales : serious and lively,0.5586777803643801,0.0830225510338139,,unknown,10.53048780487805,14.858826591314694,31.90634441087613,29.498781500716497,307.4652567975831,4263.1249258404,2.5,['unknown'],['unknown'],classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [leigh hunt]  classic tales : serious and lively,False,True
njp.32101028206678,,,,1806.0,1806.0,s,1806,    ,"London;Printed and published by and for John Hunt & Carew Reynell, in Brydges Street, Strand;1806.",1806,v.l Mackenzie - Goldsmith - Brooke - v. 2 Voltaire - v. 3 Johnson - Marmontel - v. 4 Marmontel - Hawkesworth - v. 5 Hawkesworth - Sterne.,,,,,8876942.0,enk,8887693,1,1.0,1.0,v.2,2.0,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],Voltaire,True,Voltaire,0.7785792624747915,0.3915171887566977,,unknown,13.149390243902438,15.86487767697799,32.57657657657658,26.8267186105024,315.85285285285283,3624.287657026396,2.4,['unknown'],['unknown'],classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [leigh hunt] voltaire voltaire,False,True
njp.32101030687576,,,,1806.0,1806.0,s,1806,    ,"London;Printed and published by and for John Hunt & Carew Reynell, in Brydges Street, Strand;1806.",1806,v.l Mackenzie - Goldsmith - Brooke - v. 2 Voltaire - v. 3 Johnson - Marmontel - v. 4 Marmontel - Hawkesworth - v. 5 Hawkesworth - Sterne.,,,,,8876942.0,enk,8887693,1,1.0,1.0,v.3,3.0,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],Johnson - Marmontel,True,Johnson - Marmontel,0.0,0.0,,unknown,12.401840490797548,29.74343219541571,32.35045317220544,27.780505836931024,309.58308157099697,4278.9983844616245,2.0,['unknown'],['unknown'],classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [leigh hunt] johnson - marmontel johnson - marmontel,False,True
njp.32101030687584,,,,1806.0,1806.0,s,1806,    ,"London;Printed and published by and for John Hunt & Carew Reynell, in Brydges Street, Strand;1806.",1806,v.l Mackenzie - Goldsmith - Brooke - v. 2 Voltaire - v. 3 Johnson - Marmontel - v. 4 Marmontel - Hawkesworth - v. 5 Hawkesworth - Sterne.,,,,,8876942.0,enk,8887693,1,1.0,1.0,v.4,4.0,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],Marmontel - Hawkesworth,True,Marmontel - Hawkesworth,0.38383610747814,0.0093839591329411,,unknown,14.222910216718269,38.14845345014329,32.64156626506024,41.44682646247641,332.26506024096386,6333.074321381913,1.8,['unknown'],['unknown'],classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [leigh hunt] marmontel - hawkesworth marmontel - hawkesworth,False,True
njp.32101028206660,,,,1806.0,1806.0,s,1806,    ,"London;Printed and published by and for John Hunt & Carew Reynell, in Brydges Street, Strand;1806.",1806,v.l Mackenzie - Goldsmith - Brooke - v. 2 Voltaire - v. 3 Johnson - Marmontel - v. 4 Marmontel - Hawkesworth - v. 5 Hawkesworth - Sterne.,,,,,8876942.0,enk,8887693,1,1.0,1.0,v.5,5.0,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],Hawkesworth - Sterne,True,Hawkesworth - Sterne,0.1883755083471474,0.0209708084734899,,unknown,8.120743034055728,7.0225728225133945,32.88073394495413,29.38332912493336,310.7461773700306,4082.482974684137,2.4,['unknown'],['unknown'],classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [leigh hunt] hawkesworth - sterne hawkesworth - sterne,False,True
nyp.33433087358499,"Hunt, Leigh","Hunt, Leigh",1784-1859.,1807.0,1807.0,s,1807,    ,London;J. Hunt and C. Reynell;1807.,1807,v. 1. Mackenzie. Goldsmith. Brooke.--v. 2. Voltaire.--v. 3. Johnson. Marmontel.--v. 4. Marmontel. Hawkesworth.--v. 5. Hawkesworth. Sterne.,,,,PR 1283C62 1807,2312989.0,enk,1023945,1,1.0,1.0,v. 1,1.0,"Classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ...",Mackenzie. Goldsmith. Brooke,True,Mackenzie. Goldsmith. Brooke,0.6206978987630621,0.0673632174778859,Leigh,f,10.464831804281346,14.450598060395214,32.37125748502994,32.9340241672344,305.23353293413174,4833.825701889634,2.1,['fiction'],['unknown'],"classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ... mackenzie. goldsmith. brooke mackenzie. goldsmith. brooke",False,True
nyp.33433087358507,"Hunt, Leigh","Hunt, Leigh",1784-1859.,1807.0,1807.0,s,1807,    ,London;J. Hunt and C. Reynell;1807.,1807,v. 1. Mackenzie. Goldsmith. Brooke.--v. 2. Voltaire.--v. 3. Johnson. Marmontel.--v. 4. Marmontel. Hawkesworth.--v. 5. Hawkesworth. Sterne.,,,,PR 1283C62 1807,2312989.0,enk,1023945,2,3.0,2.0,v. 2,2.0,"Classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ...",Voltaire,True,Voltaire,0.8149684275697668,0.3675670707539016,Leigh,f,13.07361963190184,15.60194211298882,32.89969604863222,20.108480150774657,319.0121580547112,2683.1487883519185,2.1,['fiction'],['unknown'],"classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ... voltaire voltaire",False,True
nyp.33433087358515,"Hunt, Leigh","Hunt, Leigh",1784-1859.,1807.0,1807.0,s,1807,    ,London;J. Hunt and C. Reynell;1807.,1807,v. 1. Mackenzie. Goldsmith. Brooke.--v. 2. Voltaire.--v. 3. Johnson. Marmontel.--v. 4. Marmontel. Hawkesworth.--v. 5. Hawkesworth. Sterne.,,,,PR 1283C62 1807,2312989.0,enk,1023945,1,1.0,1.0,v. 3,3.0,"Classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ...",Johnson. Marmontel,True,Johnson. Marmontel,0.0,0.0,Leigh,f,12.1640866873065,27.41889599248531,32.93577981651376,28.24969839800241,312.6880733944954,3292.343068765255,2.0,['fiction'],['unknown'],"classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ... johnson. marmontel johnson. marmontel",False,True
nyp.33433087358523,"Hunt, Leigh","Hunt, Leigh",1784-1859.,1807.0,1807.0,s,1807,    ,London;J. Hunt and C. Reynell;1807.,1807,v. 1. Mackenzie. Goldsmith. Brooke.--v. 2. Voltaire.--v. 3. Johnson. Marmontel.--v. 4. Marmontel. Hawkesworth.--v. 5. Hawkesworth. Sterne.,,,,PR 1283C62 1807,2312989.0,enk,1023945,1,1.0,1.0,v. 4,4.0,"Classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ...",Marmontel. Hawkesworth,True,Marmontel. Hawkesworth,0.3485796922068374,0.0067397287779739,Leigh,f,14.203125,35.836865234375,33.608695652173914,15.697812584391034,342.04658385093165,3155.2121156591184,2.1,['fiction'],['unknown'],"classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ... marmontel. hawkesworth marmontel. hawkesworth",False,True
nyp.33433087358531,"Hunt, Leigh","Hunt, Leigh",1784-1859.,1807.0,1807.0,s,1807,    ,London;J. Hunt and C. Reynell;1807.,1807,v. 1. Mackenzie. Goldsmith. Brooke.--v. 2. Voltaire.--v. 3. Johnson. Marmontel.--v. 4. Marmontel. Hawkesworth.--v. 5. Hawkesworth. Sterne.,,,,PR 1283C62 1807,2312989.0,enk,1023945,1,1.0,1.0,v. 5,5.0,"Classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ...",Hawkesworth. Sterne,True,Hawkesworth. Sterne,0.1895623355558051,0.0342678316660781,Leigh,f,8.01863354037267,6.689093784962001,33.129629629629626,20.49554183813443,314.4104938271605,2882.593840496876,1.9,['fiction'],['unknown'],"classic tales, serious and lively, | with critical essays on the merits and reputation of the authors ... hawkesworth. sterne hawkesworth. sterne",False,True
hvd.hwkd81,"Lewis, M. G. (Matthew Gregory)","Lewis, M. G. (Matthew Gregory)",1775-1818.,1808.0,1808.0,s,1808,    ,"London;Printed by D.N. Shury, for Longman, Hurst, Rees, and Orme;1808.",1808,"v. 1. Mistrust; or, Blanche and Osbright.--The admiral Guarino.--King Rodrigo's fall.--Bertrand and Mary-Belle.--The lord of Falkenstein.--Sir Guy, the seeker.--v. 2. The anaconda.--The dying bride.--The four facardins. Pt. 1--v. 3. The four facardins, Pt. 2.--Oberson's henchmen, or, The legend of the three sisters.--v. 4. My uncle's garret-window.--Bill Jones.--Amorassan, or, The spirit of the frozen ocean.",,English literature|823L58R,,,4739245.0,enk,1422747,3,3.0,3.0,v.1-2,1.0,"Romantic tales, | $c: by M.G. Lewis ...","Mistrust; or, Blanche and Osbright.--The admiral Guarino.--King Rodrigo's fall.--Bertrand and Mary-Belle.--The lord of Falkenstein.--Sir Guy, the seeker",True,"Mistrust; or, Blanche and Osbright.--The admiral Guarino.--King Rodrigo's fall.--Bertrand and Mary-Belle.--The lord of Falkenstein.--Sir Guy, the seeker",0.0,0.0,Matthew,m,8.390092879256965,27.13884921737964,22.341500765696782,19.449992847242903,188.33384379785605,1862.2775222849425,1.2,['fiction'],['unknown'],"romantic tales, | $c: by m.g. lewis ... mistrust; or, blanche and osbright.--the admiral guarino.--king rodrigo's fall.--bertrand and mary-belle.--the lord of falkenstein.--sir guy, the seeker mistrust; or, blanche and osbright.--the admiral guarino.--king rodrigo's fall.--bertrand and mary-belle.--the lord of falkenstein.--sir guy, the seeker",False,True
uiuo.ark+=13960=t3st83j7v,"Lewis, M. G","Lewis, M. G. (Matthew Gregory)",1775-1818.,1808.0,1808.0,s,1808,    ,"London;Printed by D.N. Shury, for Longman, Hurst, Rees, and Orme;1808.",1808,,,,,,4739245.0,enk,1422747,2,2.0,2.0,v.2,2.0,Romantic tales,,True,,0.0,0.0,Matthew,m,7.035928143712575,8.645415755315716,26.548961424332344,10.56214283827453,199.08902077151336,1069.3451910292422,1.7,['fiction'],['unknown'],romantic tales  ,False,True
nyp.33433074874284,"Lewis, M. G. (Matthew Gregory)","Lewis, M. G. (Matthew Gregory)",1775-1818.,1808.0,1808.0,s,1808,    ,"London;Printed by D.N. Shury, for Longman, Hurst, Rees, and Orme;1808.",1808,"v. 1. Mistrust; or, Blanche and Osbright.--The admiral Guarino.--King Rodrigo's fall.--Bertrand and Mary-Belle.--The lord of Falkenstein.--Sir Guy, the seeker.--v. 2. The anaconda.--The dying bride.--The four facardins. Pt. 1--v. 3. The four facardins, Pt. 2.--Oberson's henchmen, or, The legend of the three sisters.--v. 4. My uncle's garret-window.--Bill Jones.--Amorassan, or, The spirit of the frozen ocean.",,English literature|823L58R,,,4739245.0,enk,1422747,2,2.0,2.0,v. 3,3.0,"Romantic tales, | $c: by M.G. Lewis ...","Oberson's henchmen, or, The legend of the three sisters",True,"Oberson's henchmen, or, The legend of the three sisters",0.3315419343063608,0.4899746868466613,Matthew,m,7.605839416058394,8.56726517129309,21.92198581560284,18.66058045369952,188.99290780141845,1855.1914390624213,1.6,['fiction'],['unknown'],"romantic tales, | $c: by m.g. lewis ... oberson's henchmen, or, the legend of the three sisters oberson's henchmen, or, the legend of the three sisters",False,True
uiuo.ark+=13960=t2b85s51b,"Lewis, M. G","Lewis, M. G. (Matthew Gregory)",1775-1818.,1808.0,1808.0,s,1808,    ,"London;Printed by D.N. Shury, for Longman, Hurst, Rees, and Orme;1808.",1808,,,,,,4739245.0,enk,1422747,2,2.0,2.0,v.4,4.0,Romantic tales,"My uncle's garret-window.--Bill Jones.--Amorassan, or, The spirit of the frozen ocean",True,"My uncle's garret-window.--Bill Jones.--Amorassan, or, The spirit of the frozen ocean",0.0,0.0,Matthew,m,9.003086419753087,16.21295343697607,26.42073170731708,21.749814098750743,186.5762195121951,1631.4515076591315,2.2,['fiction'],['unknown'],"romantic tales my uncle's garret-window.--bill jones.--amorassan, or, the spirit of the frozen ocean my uncle's garret-window.--bill jones.--amorassan, or, the spirit of the frozen ocean",False,True
nyp.33433074951652,"Dallas, Robert Charles","Dallas, Robert Charles",1754-1824.,1808.0,1808.0,s,1808,    ,"London;Printed for Longman, Hurst, Rees, and Orme;1808.",1808,,,,,,6737518.0,enk,8667097,2,2.0,2.0,v. 2,2.0,"The knights: | tales illustrative of the marvellous. | $c: By R. C. Dallas, esq. ...",,True,The knights: tales illustrative of the marvellous,0.0,0.0,Robert,m,7.375912408759124,7.628762853641643,21.81560283687943,17.583018962828827,174.84397163120568,1662.7841657864292,1.3,['fiction'],['unknown'],"the knights: | tales illustrative of the marvellous. | $c: by r. c. dallas, esq. ...  the knights: tales illustrative of the marvellous",False,True
nyp.33433074910211,"Moore, George","Moore, George",fl. 1797-1811.,1808.0,1808.0,m,1808,1811,London;Printed for G. Wilkie and J. Robinson;1808-11.,1808-1811,,,English fiction,,,37280650.0,enk,8669699,1,1.0,1.0,v. 1,1.0,"Tales of the passions; | in which is attempted an illustration of their effects on the human mind: each tale comprised in one volume, and forming the subject of a single passion. | $c: By George Moore ...",,True,"Tales of the passions; in which is attempted an illustration of their effects on the human mind: each tale comprised in one volume, and forming the subject of a single passion",0.0857845721416947,0.0567052604718,George,m,6.14622641509434,3.582391420434318,20.270022883295194,15.236012127622809,173.18993135011442,1512.8586629243491,1.1,['fiction'],['unknown'],"tales of the passions; | in which is attempted an illustration of their effects on the human mind: each tale comprised in one volume, and forming the subject of a single passion. | $c: by george moore ...  tales of the passions; in which is attempted an illustration of their effects on the human mind: each tale comprised in one volume, and forming the subject of a single passion",False,True
uiuo.ark+=13960=t5k93r938,"Moore, George","Moore, George",fl. 1797-1811.,1808.0,1808.0,s,1808,    ,London;Printed for G. Wilkie and J. Robinson;1808.,1808,,,823M785T,,,6945948.0,enk,8723677,1,1.0,1.0,v.1,1.0,Tales of the passions,,True,Tales of the passions,0.080688226291527,0.022846838571595,George,m,6.161971830985915,3.562967003901342,23.642691415313227,8.693676282965749,177.21577726218098,1143.5242058343786,1.7,['fiction'],['unknown'],tales of the passions  tales of the passions,False,True
njp.32101064790130,"St. John, Andrew","St. John, Andrew",,1808.0,1808.0,s,1808,    ,London;Printed for B. Crosby and Co.;1808.,1808,,,,,,7032294.0,enk,8921555,1,1.0,1.0,vol. 1,1.0,Tales of former times. | Embellished with two elegant engravings. | $c: By A. St. John ...,,True,Tales of former times. Embellished with two elegant engravings,0.3123665563192512,0.2892208288801272,Andrew,m,6.811209439528024,8.418635410412369,26.313390313390315,37.514322124008736,236.59259259259247,3774.685871056241,1.7,['fiction'],['unknown'],tales of former times. | embellished with two elegant engravings. | $c: by a. st. john ...  tales of former times. embellished with two elegant engravings,False,True
mdp.39015053654920,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1809.0,1809.0,m,1809,1812,London;Printed for J. Johnson;1809-12.,1809-1812,3d ed.|I. Ennui.--II. Almeria. Madame de Fleury. The dun.--III. Manoeuvring.--IV. Vivian.--V. Emilie de Coulanges. The absentee.--VI. The absentee (Cont.),,,,,4890060.0,enk,164867,1,3.0,2.0,v.1,1.0,"Tales of fashionable life, | $c: by Miss Edgeworth.",,True,Tales of fashionable life,0.1282828073197662,0.0693939845321949,Maria,f,8.130331753554502,10.734198468138633,25.63657407407408,24.45819937414265,222.54166666666663,2409.581597222222,1.0,['fiction'],['unknown'],"tales of fashionable life, | $c: by miss edgeworth.  tales of fashionable life",False,True
