gutenberg_id,title,author
593,"A Selection from the Writings of Guy De Maupassant, Vol. I","Maupassant, Guy de"
3688,The Chronicles of Clovis,Saki
13505,The Duel and Other Stories,"Chekhov, Anton Pavlovich"
28554,Beyond Lies the Wub,"Dick, Philip K."
68085,"Short stories from Life: The 81 prize stories in ""Life's"" Shortest Story Contest",
142,"The $30,000 Bequest, and Other Stories","Twain, Mark"
3707,"The Trimmed Lamp, and Other Stories of the Four Million","Henry, O."
5777,Life's Handicap: Being Stories of Mine Own People,"Kipling, Rudyard"
7471,"The Man with Two Left Feet, and Other Stories","Wodehouse, P. G. (Pelham Grenville)"
20049,Great Big Treasury of Beatrix Potter,"Potter, Beatrix"
63107,Mrs Dalloway in Bond Street,"Woolf, Virginia"
55307,"The Black Monk, and Other Stories","Chekhov, Anton Pavlovich"
1743,Twelve Stories and a Dream,"Wells, H. G. (Herbert George)"
645,The Figure in the Carpet,"James, Henry"
50543,Short Stories for High Schools,
66446,The Plymouth Express Affair,"Christie, Agatha"
2597,Mrs. Skagg's Husbands and Other Stories,"Harte, Bret"
63230,Two Stories,"Woolf, Virginia; Woolf, Leonard"
2334,The Works of Rudyard Kipling: One Volume Edition,"Kipling, Rudyard"
67160,The Hunter's Lodge Case,"Christie, Agatha"
39635,"The Best Short Stories of 1918, and the Yearbook of the American Short Story",
67650,"Tales of the Samurai: Stories Illustrating Bushido, the Moral Principles of the Japanese Knighthood","Miyamori, Asataro"
56878,"First love, and other stories","Turgenev, Ivan Sergeevich"
2429,Lost Face,"London, Jack"
30120,"The Happy Prince, and Other Tales","Wilde, Oscar"
4366,Can Such Things Be?,"Bierce, Ambrose"
24873,"Lucy Maud Montgomery Short Stories, 1896 to 1901","Montgomery, L. M. (Lucy Maud)"
43627,"Strange Stories from a Chinese Studio, Vol. 1 (of 2)","Pu, Songling"
30240,The Big Trip Up Yonder,"Vonnegut, Kurt"
12758,Library of the World's Best Mystery and Detective Stories,
55219,The Prose Tales of Alexander Pushkin,"Pushkin, Aleksandr Sergeevich"
50921,"$1,000 a Plate","McKenty, Jack"
12336,Brown Wolf and Other Jack London Stories: Chosen and Edited By Franklin K. Mathiews,"London, Jack"
62942,Modern Short Stories: A Book for High Schools,
74549,"Great short stories, Volume 2 (of 3) : $b Ghost stories",
34089,"The Celestial Omnibus, and Other Stories","Forster, E. M. (Edward Morgan)"
26249,The Light Princess,"MacDonald, George"
20831,Short Stories of Various Types,
23172,"The Damned Thing: 1898, From ""In the Midst of Life""","Bierce, Ambrose"
21523,"The King in Yellow, Part 1","Chambers, Robert W. (Robert William)"
1069,Four Short Stories By Emile Zola,"Zola, Émile"
50766,The Snowball Effect,"MacLean, Katherine"
18709,"The Best Short Stories of 1921, and the Yearbook of the American Short Story",
1944,"The Witch, and Other Stories","Chekhov, Anton Pavlovich"
38616,Where Love is There God is Also,"Tolstoy, Leo, graf"
13260,Droll Stories — Complete: Collected from the Abbeys of Touraine,"Balzac, Honoré de"
37286,Tales From Jókai,"Jókai, Mór"
2038,The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,
873,A House of Pomegranates,"Wilde, Oscar"
2715,The Real Thing and Other Tales,"James, Henry"
16578,The Kipling Reader: Selections from the Books of Rudyard Kipling,"Kipling, Rudyard"
34757,"Mashi, and Other Stories","Tagore, Rabindranath"
26574,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar","Leblanc, Maurice"
1858,Plain Tales from the Hills,"Kipling, Rudyard"
18464,"The Wit and Humor of America, Volume I. (of X.)",
22893,Pygmalion's Spectacles,"Weinbaum, Stanley G. (Stanley Grauman)"
26223,Just so stories,"Kipling, Rudyard"
1646,Roads of Destiny,"Henry, O."
24811,Viking Tales,"Hall, Jennie"
8649,Indian Tales,"Kipling, Rudyard"
2791,Essays and Tales,"Addison, Joseph"
24879,"Curious, if True: Strange Tales","Gaskell, Elizabeth Cleghorn"
396,"The Lady, or the Tiger?","Stockton, Frank R."
294,"The Captain of the Polestar, and Other Tales","Doyle, Arthur Conan"
2545,"When God Laughs, and Other Stories","London, Jack"
59774,Thirty Strange Stories,"Wells, H. G. (Herbert George)"
10577,International Short Stories: French,
24874,"Lucy Maud Montgomery Short Stories, 1902 to 1903","Montgomery, L. M. (Lucy Maud)"
18465,"The Wit and Humor of America, Volume II. (of X.)",
30568,"Kipling Stories and Poems Every Child Should Know, Book II","Kipling, Rudyard"
32832,Piper in the Woods,"Dick, Philip K."
39716,Nathaniel Hawthorne,"Hawthorne, Nathaniel"
60698,Bargain Basement,"Fontenay, Charles L."
18734,"The Wit and Humor of America, Volume III. (of X.)",
75896,Arsène Lupin intervenes,"Leblanc, Maurice"
7144,While the Billy Boils,"Lawson, Henry"
24875,"Lucy Maud Montgomery Short Stories, 1904","Montgomery, L. M. (Lucy Maud)"
20303,"The Best Short Stories of 1915, and the Yearbook of the American Short Story",
35997,The Jungle Book,"Kipling, Rudyard"
28636,The Grey Woman and other Tales,"Gaskell, Elizabeth Cleghorn"
701,The King of the Golden River,"Ruskin, John"
1338,Selected Prose of Oscar Wilde,"Wilde, Oscar"
4357,American Fairy Tales,"Baum, L. Frank (Lyman Frank)"
55473,"Kotto: Being Japanese Curios, with Sundry Cobwebs","Hearn, Lafcadio"
243,"The forged coupon, and other stories","Tolstoy, Leo, graf"
306,The Early Short Fiction of Edith Wharton — Part 2,"Wharton, Edith"
32845,International Short Stories: American,
10135,"The Great English Short-Story Writers, Volume 1",
29614,The Game of Rat and Dragon,"Linebarger, Paul Myron Anthony"
4514,Tales of Men and Ghosts,"Wharton, Edith"
61309,Road Stop,"Mason, David"
28726,The Boy Scouts Book of Stories,
30255,The Skull,"Dick, Philip K."
556,Rewards and Fairies,"Kipling, Rudyard"
29579,Watchbird,"Sheckley, Robert"
8914,"England, My England","Lawrence, D. H. (David Herbert)"
58433,The Light Invisible,"Benson, Robert Hugh"
22480,The Prussian Officer,"Lawrence, D. H. (David Herbert)"
66871,"The Doves' Nest, and Other Stories","Mansfield, Katherine"
15868,"The Man Without a Country, and Other Tales","Hale, Edward Everett"
1029,The Night-Born,"London, Jack"
64264,Zero Hour,"Bradbury, Ray"
24349,Coming Home: 1916,"Wharton, Edith"
33707,Yiddish Tales,
51314,"In Bad Company, and other stories","Boldrewood, Rolf"
40321,Grim Tales,"Nesbit, E. (Edith)"
3181,The Stolen White Elephant,"Twain, Mark"
71565,The men return,"Vance, Jack"
40718,Atlantic Narratives: Modern Short Stories; Second Series,"Donnell, Annie Hamilton; Norris, Kathleen Thompson; Wyatt, Edith; Nicholson, Meredith; Antin, Mary; De la Roche, Mazo; Comer, Cornelia A. P. (Cornelia Atwood Pratt); Ashe, Elizabeth; Montague, Margaret Prescott; Carman, Kathleen; Dunning, James Edmund; Eastman, Rebecca Hooper; Ganoe, William Addleman; Huffaker, Lucy; Husband, Joseph; Kemper, S. H.; Krysto, Christina; Mackubin, Ellen; Mirrielees, Edith Ronald; Morlae, Edward; Portor, Laura Spencer; Pratt, Lucy; Singmaster, Elsie; Townsend, Charles Haskins"
45450,Fern Leaves from Fanny's Port-folio. Second Series,"Fern, Fanny"
60339,Visible and Invisible,"Benson, E. F. (Edward Frederic)"
68604,Europe and elsewhere,"Twain, Mark"
72421,"The room in the tower, and other stories","Benson, E. F. (Edward Frederic)"
27085,Rootabaga Stories,"Sandburg, Carl"
163,Flower Fables,"Alcott, Louisa May"
1089,"Moon-Face, and Other Stories","London, Jack"
2851,Sixes and Sevens,"Henry, O."
60904,A Book,"Barnes, Djuna"
3251,"The Man That Corrupted Hadleyburg, and Other Stories","Twain, Mark"
22439,"The King in Yellow, Part 2","Chambers, Robert W. (Robert William)"
68377,Let's Get Together,"Asimov, Isaac"
1617,"The Wind in the Rose-Bush, and Other Stories of the Supernatural","Freeman, Mary Eleanor Wilkins"
27903,The Magic World,"Nesbit, E. (Edith)"
25523,Old Junk,"Tomlinson, H. M. (Henry Major)"
20387,A Thin Ghost and Others,"James, M. R. (Montague Rhodes)"
29621,Wild Justice: Stories of the South Seas,"Osbourne, Lloyd"
53861,"The Apple-Tree Table, and Other Sketches","Melville, Herman"
45964,Day and Night Stories,"Blackwood, Algernon"
23207,Americans All: Stories of American Life of To-Day,
30700,"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 04","Stevenson, Robert Louis"
46650,Bayou Folk,"Chopin, Kate"
21655,"The works of Guy de Maupassant, Vol. 5: Une Vie and Other Stories","Maupassant, Guy de"
3077,Original Short Stories — Volume 01,"Maupassant, Guy de"
27462,The Last Evolution,"Campbell, John W., Jr. (John Wood)"
70222,Meet Mr Mulliner,"Wodehouse, P. G. (Pelham Grenville)"
346,"The Troll Garden, and Selected Stories","Cather, Willa"
359,Good Stories for Great Holidays: Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading,"Olcott, Frances Jenkins"
2777,Cabbages and Kings,"Henry, O."
3082,Original Short Stories — Volume 06,"Maupassant, Guy de"
47642,"The Strand Magazine, Vol. 27, February 1904, No. 159.",Various
1467,Some Christmas Stories,"Dickens, Charles"
1626,After Dark,"Collins, Wilkie"
3078,Original Short Stories — Volume 02,"Maupassant, Guy de"
7956,Married,"Strindberg, August"
54109,Round the Fire Stories,"Doyle, Arthur Conan"
582,A Collection of Beatrix Potter Stories,"Potter, Beatrix"
59556,Communication,"Fontenay, Charles L."
42232,A Child's Dream of a Star,"Dickens, Charles"
48452,"The Old House, and Other Tales","Sologub, Fyodor"
513,"The snow-image, and other twice-told tales","Hawthorne, Nathaniel"
9629,Ghost Stories of an Antiquary Part 2: More Ghost Stories,"James, M. R. (Montague Rhodes)"
38310,"The Wolves of God, and Other Fey Stories","Blackwood, Algernon; Wilson, Wilfred"
60625,Uncle Wiggily's Story Book,"Garis, Howard Roger"
21964,The Short-story,
54895,Limbo,"Huxley, Aldous"
46830,The Roadmender,"Fairless, Michael"
67071,The Star,"Wells, H. G. (Herbert George)"
1595,Whirligigs,"Henry, O."
9231,"Earth's Holocaust (From ""Mosses from an Old Manse"")","Hawthorne, Nathaniel"
17376,"The Works of Guy de Maupassant, Volume 3","Maupassant, Guy de"
21040,Brazilian Tales,"Albuquerque, Medeiros e; Coelho Netto, Henrique; Dolores, Carmen; Machado de Assis"
68229,All the Sad Young Men,"Fitzgerald, F. Scott (Francis Scott)"
50597,"Flute and Violin, and Other Kentucky Tales and Romances","Allen, James Lane"
38531,"The Beckoning Hand, and Other Stories","Allen, Grant"
5779,"The Crushed Flower, and Other Stories","Andreyev, Leonid"
37432,Short Stories of the New America: Interpreting the America of this age to high school boys and girls,
42989,"The Plattner Story, and Others","Wells, H. G. (Herbert George)"
32846,International Short Stories: English,
2598,Urban Sketches,"Harte, Bret"
3047,Life's Little Ironies: A set of tales with some colloquial sketches entitled A Few Crusted Characters,"Hardy, Thomas"
33854,Ask a Foolish Question,"Sheckley, Robert"
32946,Where the Pavement Ends,"Russell, John"
10095,"The Twilight of the Gods, and Other Tales","Garnett, Richard"
19362,In the year 2889,"Verne, Jules; Verne, Michel"
75823,By beach and bog-land : $b Some Irish stories,"Barlow, Jane"
75913,No stop-overs,"Thompson, John A."
23960,...After a Few Words...,"Garrett, Randall"
29132,The Gun,"Dick, Philip K."
70034,The stainless steel rat,"Harrison, Harry"
75905,The King's Messenger,"Crawford, F. Marion (Francis Marion)"
2004,Pigs is Pigs,"Butler, Ellis Parker"
13739,"Shandygaff: A number of most agreeable Inquirendoes upon Life & Letters, interspersed with Short Stories & Skits, the whole most Diverting to the Reader","Morley, Christopher"
9243,"The Wives of the Dead: (From: ""The Snow Image and Other Twice-Told Tales"")","Hawthorne, Nathaniel"
24877,"Lucy Maud Montgomery Short Stories, 1907 to 1908","Montgomery, L. M. (Lucy Maud)"
59892,"Changeling, and Other Stories","Byrne, Donn"
572,The Great Big Treasury of Beatrix Potter,"Potter, Beatrix"
3806,"A Modern Cinderella; Or, The Little Old Shoe, and Other Stories","Alcott, Louisa May"
7114,"Une Vie, a Piece of String and Other Stories","Maupassant, Guy de"
59165,Uncanny Stories,"Sinclair, May"
32067,Atom Drive,"Fontenay, Charles L."
75363,The eater of souls,"Kuttner, Henry"
57006,The Freaks of Mayfair,"Benson, E. F. (Edward Frederic)"
68619,"Short story classics (Foreign), Vol. 1, Russian",
56870,Tales from Gorky,"Gorky, Maksim"
329,Island Nights' Entertainments,"Stevenson, Robert Louis"
788,The Red One,"London, Jack"
75827,"Lukundoo, and other stories","White, Edward Lucas"
22662,The Mummy's Foot,"Gautier, Théophile"
66831,"Modern Essays and Stories: A book to awaken appreciation of modern prose, and to develop ability and originality in writing",
3083,Original Short Stories — Volume 07,"Maupassant, Guy de"
40386,Wandering ghosts,"Crawford, F. Marion (Francis Marion)"
32914,Tales of South Africa,"Bryden, H. A. (Henry Anderson)"
35879,The Rotifers,"Abernathy, Robert"
60520,The Marrying Man,"Farrell, Joseph"
872,Reprinted Pieces,"Dickens, Charles"
33813,Rodman the Keeper: Southern Sketches,"Woolson, Constance Fenimore"
50876,Earthbound,"Del Rey, Lester"
58099,Mother of Pearl,"France, Anatole"
3084,Original Short Stories — Volume 08,"Maupassant, Guy de"
9790,Traffics and Discoveries,"Kipling, Rudyard"
24876,"Lucy Maud Montgomery Short Stories, 1905 to 1906","Montgomery, L. M. (Lucy Maud)"
1415,Doctor Marigold,"Dickens, Charles"
19989,Story-Tell Lib,"Slosson, Annie Trumbull"
44818,Christ Legends,"Lagerlöf, Selma"
59332,Abaft the Funnel,"Kipling, Rudyard"
25586,"A Collection of Stories, Reviews and Essays","Cather, Willa"
839,New Arabian Nights,"Stevenson, Robert Louis"
73575,The hounds of Tindalos,"Long, Frank Belknap"
19325,"The Wit and Humor of America, Volume VII. (of X.)",
55431,Old Man Savarin Stories: Tales of Canada and Canadians,"Thomson, Edward William"
55471,The Black Lion Inn,"Lewis, Alfred Henry"
2043,The Lock and Key Library: The most interesting stories of all nations: American,
18509,Nick Baba's Last Drink and Other Sketches,"Goff, George Paul"
20229,Stories of Comedy,
57277,A Dreamer's Tales,"Dunsany, Lord"
14129,"The Works of Charles Lamb in Four Volumes, Volume 4","Lamb, Charles"
68831,Il Novellino: The hundred old tales,
3079,Original Short Stories — Volume 03,"Maupassant, Guy de"
29948,Two Timer,"Brown, Fredric"
3389,Literature and Life (Complete),"Howells, William Dean"
17669,"The Three Brides, Love in a Cottage, and Other Tales","Durivage, Francis A. (Francis Alexander)"
25519,Little Wizard Stories of Oz,"Baum, L. Frank (Lyman Frank)"
18713,Violets and Other Tales,"Dunbar-Nelson, Alice Moore"
23534,...Or Your Money Back,"Garrett, Randall"
36258,The Beautiful People,"Beaumont, Charles"
51008,Two Weeks in August,"Robinson, Frank M."
55577,Tales of Two Countries,"Gorky, Maksim"
508,Twice-Told Tales,"Hawthorne, Nathaniel"
19909,Good Cheer Stories Every Child Should Know,
1633,"The Brick Moon, and Other Stories","Hale, Edward Everett"
29561,In a Little Town,"Hughes, Rupert"
27523,Masterpieces of Mystery in Four Volumes: Detective Stories,
52590,The Night Club,"Jenkins, Herbert George"
36712,The Best Psychic Stories,
22069,"The Works of Guy de Maupassant, Volume VIII.","Maupassant, Guy de"
46694,Under Sail,"Colcord, Lincoln"
59015,"The Shadowy Third, and Other Stories","Glasgow, Ellen Anderson Gholson"
4519,The Descent of Man and Other Stories,"Wharton, Edith"
694,Stories from Everybody's Magazine,Various
1716,"The Copy-Cat, and Other Stories","Freeman, Mary Eleanor Wilkins"
2639,"Villa Rubein, and Other Stories","Galsworthy, John"
38575,Strange Stories,"Allen, Grant"
34574,"In Love With the Czarina, and Other Stories","Jókai, Mór"
35770,The Hero,"Wilber, Elaine"
57322,"The Bellman Book of Fiction, 1906-1919",
59368,Juvenile Delinquent,"Ludwig, Edward W."
66881,"A Warning to the Curious, and Other Ghost Stories","James, M. R. (Montague Rhodes)"
292,"Beauty and the Beast, and Tales of Home","Taylor, Bayard"
17377,"The Works of Guy de Maupassant, Volume 4","Maupassant, Guy de"
65252,Captures,"Galsworthy, John"
68553,The festival,"Lovecraft, H. P. (Howard Phillips)"
6073,"Smith and the Pharaohs, and other Tales","Haggard, H. Rider (Henry Rider)"
51919,"Rancho Del Muerto, and Other Stories of Adventure: by Various Authors, from ""Outing""","King, Charles"
59581,Brain Teaser,"Godwin, Tom"
26475,The Boy Scouts Book of Campfire Stories,
29019,All cats are gray,"Norton, Andre"
39397,One of Cleopatra's Nights and Other Fantastic Romances,"Gautier, Théophile"
72966,The horror at Red Hook,"Lovecraft, H. P. (Howard Phillips)"
3815,Rolling Stones,"Henry, O."
24567,Blind Man's Lantern,"Lang, Allen Kim"
52701,Comedies and Errors,"Harland, Henry"
2381,Actions and reactions,"Kipling, Rudyard"
1583,Options,"Henry, O."
39957,Prairie Gold,Iowa Press and Authors' Club
31697,"The Shepherd of Salisbury Plain, and Other Tales","More, Hannah"
61055,The Valley of the Masters,"Blackford, Charles Minor"
51981,Sandburrs,"Lewis, Alfred Henry"
33665,"The Preliminaries, and Other Stories","Comer, Cornelia A. P. (Cornelia Atwood Pratt)"
55650,"Stray leaves from strange literature; and, Fantastics and other fancies","Hearn, Lafcadio"
2163,The Bridge-Builders,"Kipling, Rudyard"
10736,Children of the Frost,"London, Jack"
36507,Mary Wollstonecraft's Original Stories,"Wollstonecraft, Mary"
22530,From Place to Place,"Cobb, Irvin S. (Irvin Shrewsbury)"
37484,"The Strand Magazine, Vol. 27, Issue 160, April, 1904",Various
51288,Man of Distinction,"Shaara, Michael"
24132,Autres Temps...: 1916,"Wharton, Edith"
39832,In the Permanent Way,"Steel, Flora Annie Webster"
59149,The Elroom,"Sohl, Jerry"
22059,Balthasar and Other Works - 1909,"France, Anatole"
38131,On Secret Service: Detective-Mystery Stories Based on Real Cases Solved by Government Agents,"Taft, William Nelson"
1831,The Lock and Key Library: Classic Mystery and Detective Stories: Old Time English,
23408,Far from Home,"Taylor, J. A."
36731,"Tales of the Wonder Club, Volume III","Halidom, M. Y."
75855,The smear,"Beames, John"
32360,The Holes Around Mars,"Bixby, Jerome"
34829,"The Sick-a-Bed Lady: And Also Hickory Dock, The Very Tired Girl, The Happy-Day, Something That Happened in October, The Amateur Lover, Heart of The City, The Pink Sash, Woman's Only Business","Abbott, Eleanor Hallowell"
49342,"The Stickit Minister's Wooing, and Other Galloway Stories","Crockett, S. R. (Samuel Rutherford)"
32117,Eleven Possible Cases,"Stockton, Frank R.; Green, Anna Katharine; Thompson, Maurice; Munroe, Kirk; Harland, Henry; Miller, Joaquin; Fawcett, Edgar; Fyles, Franklin; Lockwood, Ingersoll; Smith, Brainard Gardner; Wheeler, A. C. (Andrew Carpenter)"
43048,The Piebald Hippogriff,"Anderson, Karen"
