docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob	first_name	estimated_gender
njp.32101076879376	Sterne, Laurence	Sterne, Laurence	1713-1768.	1790.0	1768.0	s	1790	    	London;Printed for the proprietors;1790.	1790	v. I-III. The life and opinions of Tristram Shandy, gentleman.--v. III. A political romance, addressed to --- ----, esq., of York.--v. IV. A sentimental journey through France and Italy.--v. V. The Koran.--v. VI. Letters of the late Laurence Sterne to his most intimate friends, with a fragment in the manner of Rabelais.--v. VII-VIII. Sermons.					6928485.0	enk	8958605	1	1.0	1.0	vol. 1	1.0	The works of Laurence Sterne : | complete in eight volumes.		True	The works of Laurence Sterne : complete in eight volumes	0.3593651725233566	0.1027280947184654	Laurence	f
njp.32101071963480	Rousseau, Jean-Jacques	Rousseau, Jean-Jacques	1712-1778.	1790.0	1778.0	s	1790	    	London;Printed for G.G.J. and J. Robinson, and J. Bew;1790.	1790			1712-1778|Correspondence|Rousseau, Jean-Jacques			16894767.0	enk	8980647	1	1.0	1.0	vol. 1	1.0	The confessions of J.J. Rousseau, citizen of Geneva : | part the second ; to which is added, a new collection of letters from the author ; translated from the French.		True	The confessions of J.J. Rousseau, citizen of Geneva : part the second ; to which is added, a new collection of letters from the author ; translated from the French	0.6971490928414618	0.2222466188446428	Jean	m
njp.32101074629542	Lavallée, Joseph	Lavallée, Joseph	1747-1816.	1790.0	1790.0	s	1790	    	London;Printed for the author;1790.	1790						43079743.0	enk	9023042	1	1.0	1.0	vol.1	1.0	The negro equalled by few Europeans; | $c: tr. from the French. To which are added, Poems on various subjects, moral and entertaining, by J. Trapp ...		True	The negro equalled by few Europeans;	0.216788284389563	0.0352492703254875	Joseph	m
hvd.hn2u4x	Keate, George	Keate, George	1729-1797.	1790.0	1790.0	s	1790	    	London;J. Dodsley;1790.	1790	4th ed.			Margate (England)		1452965.0	enk	9712096	1	2.0	2.0	v.2	2.0	Sketches from nature; | taken, and coloured, in a journey to Margate. Published from the original designs / | $c: by George Keate.		True	Sketches from nature; taken, and coloured, in a journey to Margate. Published from the original designs	0.2286608797650275	0.301989600800341	George	m
wu.89044718898	baron de, Lesseps, Jean-Baptiste-Barthélemy	baron de, Lesseps, Jean-Baptiste-Barthélemy	1766-1834.	1790.0	1790.0	s	1790	    	London;Printed for J. Johnson;1790.	1790			Description and travel	Kamchatka Peninsula (Russia)		13624280.0	enk	9885985	1	1.0	1.0	2	2.0	Travels in Kamtschatka, during the years 1787 and 1788, | $c: translated from the French.		True	Travels in Kamtschatka, during the years 1787 and 1788	0.9421617260676513	0.185697149907659	Jean	m
mdp.39015033367668	Reeve, Clara	Reeve, Clara	1729-1807.	1791.0	1791.0	s	1791	    	London;Printed for T. Hookham [etc.;1791.	1791					PR3658.R5S3	7082998.0	enk	326939	1	1.0	1.0	v.1	1.0	The school for widows. | A novel ... | $c: By Clara Reeve.		True	The school for widows. A novel	0.4549522320211186	0.3639480119155405	Clara	f
uc2.ark+=13960=t1mg7h137				1791.0	1791.0	 	1791	    	Norwich;Crouse and Stevenson;1791.	1791						29095773.0	enk	7677434	1	1.0	1.0			The wonder working water-mill displayed with its apparatus, appurtenances, appendages, and operations, or, The mill to grind old people young		True	The wonder working water-mill displayed with its apparatus, appurtenances, appendages, and operations, or, The mill to grind old people young	0.4925260804332098	0.5152703125460154		unknown
nyp.33433076093644	Shenstone, William	Shenstone, William	1714-1763.	1791.0	1763.0	s	1791	    	London;J.Dodsley;1791.	1791	6th ed.|--I. Elegies on several occasions.  Odes, songs, ballads, &c. Levities, or pieces of humour.  Moral pieces.--II. Essays on men and manners.  A description of Leasowes, the seat of the late William Shenstone, esq; by R. Dodsley.  Verses to Mr. Shenstone.--III. Letters to particular friends from the year 1739 to 1763.				PR3677.A1 1791	4221256.0	enk	7692082	1	1.0	1.0	v. 3	3.0	The works in verse and prose, of William Shenstone ...		False	The works in verse and prose, of William Shenstone	0.9220268611924464	0.0516346009699782	William	m
nyp.33433074911466	Smith, Charlotte Turner	Smith, Charlotte Turner	1749-1806.	1791.0	1791.0	s	1791	    	London;Printed for T. Cadell;1791.	1791	Second edition.		English fiction			7075710.0	enk	8663650	1	1.0	1.0	v. 1	1.0	Celestina. | A novel ... | $c: By Charlotte Smith ...		True	Celestina. A novel	0.0479982980953683	0.1441633463104484	Charlotte	f
nyp.33433074918859	Adams, John	Adams, John	1750?-1814.	1791.0	1791.0	s	1791	    	London;G. Kearsley;1791.	1791			English fiction			37208625.0	enk	8667228	1	1.0	1.0			Elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of Woman; or, Historical sketches of the fair sex ...		True	Elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects	0.373850361843535	0.1190609898621482	John	m
nyp.33433075736912	Gessner, Salomon	Gessner, Salomon	1730-1788.	1791.0	1788.0	s	1791	    	London;Printed for T. Martin [etc.;1791.	1791	The twelfth edition.		Swiss-German fiction|Cain			37493818.0	enk	8673247	1	1.0	1.0			The death of Abel. | In five books. | $c: Attempted from the German of Mr. Gessner.		True	The death of Abel. In five books	0.5161920175771798	0.2057253647293294	Salomon	m
nyp.33433075819957	Frere, B. (Benjamin)	Frere, B. (Benjamin)		1791.0	1791.0	s	1791	    	Herfford;W.H. Parker [etc., etc.;1791.	1791						37601531.0	enk	8675437	1	1.0	1.0			The modern hero, | in the kingdom of Cathai. In the year 90000. | $c: Translated from the French of Mr. B. Frere, de Cherensi ...		True	The modern hero, in the kingdom of Cathai. In the year 90000	0.5073057760837976	0.1128283020892893	Benjamin	m
yale.39002032471428	Carter, George	Carter, George	1737-1794.	1791.0	1791.0	s	1791	    	London;Printed at the Minerva Press, for J. Murray, Fleet-Street, and William Lane, Leadenhall-Street;1791.	1791			Description and travel|Xhosa (African people)|Grosvenor (Ship)	Kaffraria		27791665.0	enk	8687041	1	1.0	1.0			A narrative of the loss of the Grosvenor East Indiaman : | which was unfortunately wrecked upon the coast of Caffraria, somewhere between the 27th and 32d degrees of southern latitude, on the 4th of August, 1782 / | $c: compiled from the examination of John Hynes, one of the unfortunate survivors ; By Mr. George Carter, historical portrait painter ... ; Containing a variety of matter respecting the sufferers ... ; with copper plates descriptive of the catastrophe, engraved from Mr. Carter's des		True	A narrative of the loss of the Grosvenor East Indiaman : which was unfortunately wrecked upon the coast of Caffraria, somewhere between the 27th and 32d degrees of southern latitude, on the 4th of August, 1782	0.9054088601688076	0.3791081720714077	George	m
nyp.33433074913348	Mrs., Inchbald	Inchbald, Mrs	1753-1821.	1791.0	1791.0	s	1791	    	London;G. G. J. and J. Robinson;1791.	1791						6821342.0	enk	8688954	1	1.0	1.0	v. 1	1.0	A simple story. | In four volumes. | $c: By Mrs. Inchbald.		True	A simple story. In four volumes	0.1183633104924371	0.0579817136190064	Mrs	unknown
